시도명,시군구명,60~64세,60세 이상 - 계,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
부산광역시,영도구,11315,39902,9541,7709,6021,3594,1722,33.0,3.0,2.0,75.17479524568938,5.0,113224.0,29696.0
부산광역시,중구,3982,13932,3316,2640,2075,1224,695,24.0,6.0,1.0,37.02897935557593,4.0,41439.0,13880.0
부산광역시,해운대구,32013,97281,23664,16902,12532,7865,4305,41.0,21.0,2.0,180.4068667853658,15.0,389535.0,114679.0
서울특별시,강남구,31311,100254,24800,19366,12767,7101,4909,69.0,33.0,2.0,206.53525536214386,9.0,508135.0,232985.0
서울특별시,강동구,34831,100158,25440,17779,11460,6307,4341,231.0,36.0,3.0,189.19152642723196,7.0,444434.0,168736.0
서울특별시,강북구,24580,83650,18938,15730,12931,7526,3945,0.0,0.0,0.0,150.41008451886842,6.0,299535.0,105224.0
서울특별시,강서구,42648,126089,30967,22559,14813,9021,6081,161.0,19.0,2.0,228.02076793625076,5.0,564854.0,199446.0
서울특별시,관악구,31825,105565,25050,20365,15387,8483,4455,56.0,10.0,1.0,195.06536130203347,3.0,502641.0,162897.0
서울특별시,광진구,23752,70213,16654,12193,9079,5441,3094,28.0,5.0,2.0,137.07302232509488,2.0,353967.0,128383.0
서울특별시,구로구,30669,96116,23518,18083,12540,7270,4036,131.0,27.0,2.0,183.5806335033586,8.0,435442.0,157712.0
서울특별시,금천구,18549,55176,13168,9962,7240,4004,2253,5.0,0.0,1.0,110.39453026496693,4.0,249419.0,92980.0
서울특별시,노원구,37840,118020,27501,20405,15638,10082,6554,71.0,20.0,3.0,210.16799544013557,6.0,511982.0,168622.0
서울특별시,도봉구,27753,86238,20054,14959,11763,7315,4394,8.0,1.0,1.0,154.7499547441996,7.0,315979.0,110732.0
서울특별시,동대문구,24817,81539,18831,14706,11876,7133,4176,223.0,22.0,4.0,155.4285425682322,7.0,351057.0,131044.0
서울특별시,동작구,26873,87643,20324,16330,12149,7441,4526,115.0,14.0,2.0,161.16713492047512,3.0,392772.0,133854.0
서울특별시,마포구,21665,71183,15545,12539,10431,6793,4210,0.0,0.0,0.0,139.97299134722914,3.0,365612.0,135772.0
서울특별시,서대문구,21055,70436,15252,12502,10523,7007,4097,80.0,32.0,2.0,132.54204471706777,4.0,317209.0,107856.0
서울특별시,서초구,25436,80400,19614,15312,10361,5785,3892,40.0,17.0,1.0,160.31631544692033,4.0,401749.0,163471.0
서울특별시,성동구,20417,62418,14169,10878,8602,5311,3041,42.0,12.0,1.0,122.17212361953099,3.0,291918.0,110116.0
서울특별시,성북구,29909,97869,22047,17617,14216,8953,5127,41.0,19.0,1.0,180.5489609413897,7.0,438833.0,142980.0
서울특별시,송파구,46177,133309,34339,23519,14877,8428,5969,150.0,45.0,2.0,257.2060247962227,12.0,643288.0,249680.0
서울특별시,양천구,31797,93304,23336,16437,10980,6540,4214,94.0,23.0,3.0,174.5903035123307,3.0,439068.0,158378.0
서울특별시,영등포구,25432,80748,18746,14664,10895,6867,4144,92.0,34.0,5.0,168.54539966210584,13.0,403619.0,163460.0
서울특별시,은평구,34977,113400,25920,20726,16255,10083,5439,20.0,11.0,2.0,202.99433113931048,6.0,463102.0,163097.0
서울특별시,종로구,10384,34852,7581,5986,5209,3467,2225,285.0,62.0,4.0,73.82404899457094,1.0,151291.0,73433.0
서울특별시,중랑구,32215,97168,23269,17323,12806,7423,4132,208.0,-81.0,3.0,170.9554188550268,2.0,385663.0,130693.0
세종특별자치시,세종시,16969,48720,11421,7769,5719,3938,2904,32.0,9.0,2.0,114.77439459286,5.0,353933.0,134571.0
울산광역시,남구,24391,61318,15893,9809,6043,3393,1789,72.0,11.0,3.0,137.40918591874043,16.0,320175.0,118992.0
울산광역시,동구,13547,32186,8515,5079,2798,1448,799,114.0,15.0,1.0,69.99975182264865,3.0,159000.0,50039.0
울산광역시,북구,12213,28808,6883,4188,2787,1702,1035,11.0,10.0,1.0,75.21256535940967,5.0,217051.0,76613.0
울산광역시,울주군,16644,46528,11107,7340,5405,3623,2409,1.0,1.0,1.0,97.02958581373417,11.0,225050.0,52207.0
울산광역시,중구,18111,49294,12626,8167,5587,3184,1619,31.0,12.0,1.0,98.0839389705742,5.0,214147.0,68458.0
인천광역시,강화군,7382,27776,5741,5029,4257,3095,2272,2.0,1.0,1.0,54.09398614290018,4.0,66020.0,19769.0
인천광역시,계양구,24059,59148,13268,8519,6255,4308,2739,272.0,16.0,2.0,120.03615963594262,8.0,292852.0,99791.0
인천광역시,남동구,38512,105715,25051,17554,12261,7538,4799,102.0,31.0,2.0,208.99988606619482,17.0,528927.0,172095.0
인천광역시,미추홀구,31421,95964,21802,17116,12787,7911,4927,62.0,10.0,2.0,183.98244931819457,15.0,405886.0,140889.0
인천광역시,부평구,39010,107733,24780,17550,12718,8337,5338,218.0,25.0,2.0,197.92750204364665,7.0,500812.0,166224.0
인천광역시,서구,35243,88871,20712,13859,9352,5885,3820,219.0,63.0,5.0,188.43666749212034,10.0,541534.0,203412.0
인천광역시,연수구,23896,59460,13356,8746,6216,4197,3049,27.0,6.0,1.0,131.9471852244896,3.0,390260.0,163736.0
인천광역시,중구,8656,27203,6311,5042,3643,2119,1432,91.0,45.0,2.0,64.43822526604816,4.0,138586.0,53198.0
전라남도,강진군,3251,14154,2546,2554,2360,2088,1355,49.0,9.0,1.0,31.79666232681734,1.0,32778.0,9116.0
전라남도,고흥군,6240,30148,5703,5521,5270,4338,3076,7.0,0.0,2.0,51.84692587034266,1.0,60045.0,15568.0
전라남도,곡성군,2514,11687,2012,2040,1995,1833,1293,1.0,0.0,1.0,28.202328681596555,1.0,27349.0,6839.0
전라남도,광양시,9674,28141,6161,4456,3276,2694,1880,1.0,0.0,1.0,64.06239123955203,5.0,143928.0,46246.0
전라남도,구례군,2394,10386,1926,1811,1837,1493,925,0.0,0.0,1.0,29.07096458125295,3.0,23907.0,7343.0
전라남도,나주시,8328,31071,6158,5411,5102,3672,2400,0.0,0.0,1.0,67.06500038648363,7.0,113293.0,40839.0
전라남도,담양군,4116,16829,3221,2995,2822,2245,1430,2.0,0.0,1.0,40.945424224482565,6.0,44201.0,11142.0
전라남도,목포시,16543,52159,11843,9678,7367,4378,2350,195.0,48.0,6.0,108.78204213825632,9.0,224509.0,85005.0
전라남도,무안군,5412,20682,4302,3824,3351,2335,1458,11.0,1.0,1.0,49.880265408964874,4.0,84637.0,32959.0
전라남도,보성군,3767,17748,3223,3101,3074,2687,1896,0.0,0.0,2.0,38.995211630404015,4.0,37888.0,10581.0
전라남도,순천시,19425,59922,12876,10074,7876,5711,3960,146.0,38.0,4.0,118.30429443805315,7.0,272449.0,99068.0
전라남도,신안군,3679,16384,3118,2971,2950,2319,1347,1.0,0.0,1.0,35.12268081702052,2.0,35138.0,5451.0
전라남도,여수시,21746,71703,16750,13334,9717,6276,3880,7.0,0.0,3.0,136.94187839760713,12.0,271505.0,90344.0
전라남도,영광군,4265,18102,3489,3414,3225,2337,1372,4.0,0.0,2.0,38.671059996416375,1.0,50196.0,13956.0
전라남도,영암군,4215,17005,3189,2940,2916,2275,1470,1.0,1.0,1.0,37.72417674592941,1.0,57076.0,15884.0
전라남도,장성군,3484,15193,2821,2772,2626,2122,1368,1.0,0.0,1.0,34.96712148956709,2.0,41443.0,11006.0
전라남도,장흥군,3432,15126,2731,2609,2498,2210,1646,2.0,1.0,2.0,33.00281398609951,1.0,35273.0,10430.0
전라남도,진도군,2796,12107,2099,2176,2280,1740,1016,1.0,0.0,1.0,29.369671393691988,1.0,29297.0,7023.0
전라남도,함평군,2932,13251,2412,2380,2370,1959,1198,0.0,0.0,0.0,30.612827384104094,1.0,30156.0,7716.0
전라남도,해남군,6259,26361,4945,4776,4598,3574,2209,49.0,16.0,2.0,49.006630149299326,1.0,65223.0,18130.0
전라남도,화순군,4895,19817,3615,3413,3511,2701,1682,19.0,10.0,1.0,53.70709865064077,13.0,60247.0,20697.0
전라북도,고창군,5069,22258,4031,4035,3935,3052,2136,1.0,0.0,1.0,46.79159595532195,5.0,52608.0,14129.0
전라북도,군산시,20325,66642,15262,12404,9073,5756,3822,327.0,66.0,2.0,126.8972686244669,9.0,269023.0,84684.0
전라북도,김제시,7462,31085,6078,5622,4995,3919,3009,1.0,0.0,1.0,58.575004895075836,4.0,79733.0,23731.0
전라북도,남원시,6777,27698,5516,5054,4358,3480,2513,5.0,1.0,1.0,55.08742945514962,4.0,78097.0,24797.0
전라북도,부안군,4872,20696,4075,3869,3381,2673,1826,3.0,1.0,2.0,42.02070145815742,2.0,49326.0,13629.0
전라북도,순창군,2545,11155,1984,1986,2004,1644,992,1.0,0.0,1.0,28.93438321983814,2.0,26598.0,6624.0
전라북도,완주군,7164,26239,5601,4717,3846,2935,1976,0.0,0.0,0.0,58.211371695294986,6.0,95834.0,32444.0
전라북도,익산시,22305,73288,16234,13016,9970,6938,4825,19.0,8.0,2.0,136.79662158745737,11.0,285312.0,89173.0
