,stdDay,gubun,deathCnt
198,2020년 3월 13일 00시,제주,0.0
199,2020년 3월 14일 00시,합계,72.0
200,2020년 3월 14일 00시,서울,0.0
201,2020년 3월 14일 00시,부산,0.0
202,2020년 3월 14일 00시,대구,51.0
203,2020년 3월 14일 00시,인천,0.0
204,2020년 3월 14일 00시,광주,0.0
205,2020년 3월 14일 00시,대전,0.0
206,2020년 3월 14일 00시,울산,0.0
207,2020년 3월 14일 00시,세종,0.0
208,2020년 3월 14일 00시,경기,3.0
209,2020년 3월 14일 00시,강원,1.0
210,2020년 3월 14일 00시,충북,0.0
211,2020년 3월 14일 00시,충남,0.0
212,2020년 3월 14일 00시,전북,0.0
213,2020년 3월 14일 00시,전남,0.0
214,2020년 3월 14일 00시,경북,17.0
215,2020년 3월 14일 00시,경남,0.0
216,2020년 3월 14일 00시,제주,0.0
217,2020년 3월 15일 00시,합계,75.0
218,2020년 3월 15일 00시,서울,0.0
219,2020년 3월 15일 00시,부산,1.0
220,2020년 3월 15일 00시,대구,53.0
221,2020년 3월 15일 00시,인천,0.0
222,2020년 3월 15일 00시,광주,0.0
223,2020년 3월 15일 00시,대전,0.0
224,2020년 3월 15일 00시,울산,0.0
225,2020년 3월 15일 00시,세종,0.0
226,2020년 3월 15일 00시,경기,3.0
227,2020년 3월 15일 00시,강원,1.0
228,2020년 3월 15일 00시,충북,0.0
229,2020년 3월 15일 00시,충남,0.0
230,2020년 3월 15일 00시,전북,0.0
231,2020년 3월 15일 00시,전남,0.0
232,2020년 3월 15일 00시,경북,17.0
233,2020년 3월 15일 00시,경남,0.0
234,2020년 3월 15일 00시,제주,0.0
235,2020년 3월 16일 00시,합계,75.0
236,2020년 3월 16일 00시,서울,0.0
237,2020년 3월 16일 00시,부산,1.0
238,2020년 3월 16일 00시,대구,53.0
239,2020년 3월 16일 00시,인천,0.0
240,2020년 3월 16일 00시,광주,0.0
241,2020년 3월 16일 00시,대전,0.0
242,2020년 3월 16일 00시,울산,0.0
243,2020년 3월 16일 00시,세종,0.0
244,2020년 3월 16일 00시,경기,3.0
245,2020년 3월 16일 00시,강원,1.0
246,2020년 3월 16일 00시,충북,0.0
247,2020년 3월 16일 00시,충남,0.0
248,2020년 3월 16일 00시,전북,0.0
249,2020년 3월 16일 00시,전남,0.0
250,2020년 3월 16일 00시,경북,17.0
251,2020년 3월 16일 00시,경남,0.0
252,2020년 3월 16일 00시,제주,0.0
253,2020년 3월 16일 00시,검역,0.0
254,2020년 3월 17일 00시,합계,81.0
255,2020년 3월 17일 00시,서울,0.0
256,2020년 3월 17일 00시,부산,1.0
257,2020년 3월 17일 00시,대구,57.0
258,2020년 3월 17일 00시,인천,0.0
259,2020년 3월 17일 00시,광주,0.0
260,2020년 3월 17일 00시,대전,0.0
261,2020년 3월 17일 00시,울산,0.0
262,2020년 3월 17일 00시,세종,0.0
263,2020년 3월 17일 00시,경기,3.0
264,2020년 3월 17일 00시,강원,1.0
265,2020년 3월 17일 00시,충북,0.0
266,2020년 3월 17일 00시,충남,0.0
267,2020년 3월 17일 00시,전북,0.0
268,2020년 3월 17일 00시,전남,0.0
269,2020년 3월 17일 00시,경북,19.0
270,2020년 3월 17일 00시,경남,0.0
271,2020년 3월 17일 00시,제주,0.0
272,2020년 3월 17일 00시,검역,0.0
273,2020년 3월 18일 00시,합계,84.0
274,2020년 3월 18일 00시,서울,0.0
275,2020년 3월 18일 00시,부산,1.0
276,2020년 3월 18일 00시,대구,58.0
277,2020년 3월 18일 00시,인천,0.0
278,2020년 3월 18일 00시,광주,0.0
279,2020년 3월 18일 00시,대전,0.0
280,2020년 3월 18일 00시,울산,0.0
281,2020년 3월 18일 00시,세종,0.0
282,2020년 3월 18일 00시,경기,3.0
283,2020년 3월 18일 00시,강원,1.0
284,2020년 3월 18일 00시,충북,0.0
285,2020년 3월 18일 00시,충남,0.0
286,2020년 3월 18일 00시,전북,0.0
287,2020년 3월 18일 00시,전남,0.0
288,2020년 3월 18일 00시,경북,21.0
289,2020년 3월 18일 00시,경남,0.0
290,2020년 3월 18일 00시,제주,0.0
291,2020년 3월 18일 00시,검역,0.0
292,2020년 3월 19일 00시,합계,91.0
293,2020년 3월 19일 00시,서울,0.0
294,2020년 3월 19일 00시,부산,1.0
295,2020년 3월 19일 00시,대구,65.0
296,2020년 3월 19일 00시,인천,0.0
297,2020년 3월 19일 00시,광주,0.0
298,2020년 3월 19일 00시,대전,0.0
299,2020년 3월 19일 00시,울산,0.0
300,2020년 3월 19일 00시,세종,0.0
301,2020년 3월 19일 00시,경기,3.0
302,2020년 3월 19일 00시,강원,1.0
303,2020년 3월 19일 00시,충북,0.0
304,2020년 3월 19일 00시,충남,0.0
305,2020년 3월 19일 00시,전북,0.0
306,2020년 3월 19일 00시,전남,0.0
307,2020년 3월 19일 00시,경북,21.0
308,2020년 3월 19일 00시,경남,0.0
309,2020년 3월 19일 00시,제주,0.0
310,2020년 3월 19일 00시,검역,0.0
311,2020년 3월 20일 00시,합계,94.0
312,2020년 3월 20일 00시,서울,0.0
313,2020년 3월 20일 00시,부산,1.0
314,2020년 3월 20일 00시,대구,67.0
315,2020년 3월 20일 00시,인천,0.0
316,2020년 3월 20일 00시,광주,0.0
317,2020년 3월 20일 00시,대전,0.0
318,2020년 3월 20일 00시,울산,0.0
319,2020년 3월 20일 00시,세종,0.0
320,2020년 3월 20일 00시,경기,3.0
321,2020년 3월 20일 00시,강원,1.0
322,2020년 3월 20일 00시,충북,0.0
