,loc_sido,loc_gun,cnt_hos,bed,remain_bed,pop,nurse,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
83,광주광역시,서구,4.0,46.0,9.0,294854.0,9.0,60751,20400,13852,10869,7959,4839,2832,106009.0,153.97588235294117
84,대구광역시,남구,4.0,138.0,58.0,145588.0,9.0,44734,12670,10484,8093,6504,4385,2598,56733.0,138.44882352941175
85,대구광역시,달서구,6.0,92.0,44.0,566712.0,14.0,119948,42818,29333,19538,13998,9142,5119,160926.0,325.08
86,대구광역시,달성군,0.0,0.0,0.0,261013.0,9.0,47020,16862,11332,7646,5378,3603,2199,75016.0,99.39
87,대구광역시,동구,1.0,56.0,11.0,333294.0,8.0,91144,27686,21852,16394,12730,8057,4425,94786.0,208.4858823529412
88,대구광역시,북구,2.0,279.0,47.0,446466.0,13.0,91224,30987,21355,15343,11992,7477,4070,125817.0,225.36352941176472
89,대구광역시,서구,1.0,155.0,40.0,170437.0,10.0,53086,16723,13253,9423,7186,4325,2176,81155.0,145.47
90,대구광역시,수성구,1.0,2.0,0.0,412912.0,10.0,92981,29650,21543,15763,12294,8385,5346,109011.0,209.86529411764707
91,대구광역시,중구,3.0,154.0,49.0,74278.0,2.0,19740,5309,4269,3765,3129,2061,1207,30848.0,84.19941176470589
92,대전광역시,대덕구,2.0,113.0,6.0,176393.0,3.0,40330,14296,9425,6525,5063,3162,1859,51421.0,72.05529411764707
93,대전광역시,동구,1.0,24.0,8.0,232559.0,13.0,57092,17800,13094,10133,8110,5039,2916,77770.0,145.6494117647059
94,대전광역시,서구,3.0,46.0,29.0,478629.0,10.0,89680,32076,21307,14681,10501,6733,4382,151372.0,222.05764705882353
95,대전광역시,유성구,1.0,38.0,9.0,368895.0,9.0,51744,20463,12310,7488,5384,3605,2494,135528.0,116.23176470588236
96,대전광역시,중구,3.0,104.0,28.0,231959.0,12.0,61118,18246,13978,11270,8625,5629,3370,80330.0,162.65823529411765
97,부산광역시,금정구,0.0,0.0,0.0,237219.0,18.0,65991,20857,16370,11972,8765,5129,2898,68968.0,156.6458823529412
98,부산광역시,기장군,2.0,24.0,3.0,169465.0,5.0,35780,11247,8769,6550,4700,2858,1656,56890.0,64.92117647058824
99,부산광역시,남구,1.0,29.0,11.0,269111.0,8.0,72376,21946,17554,13634,10283,5949,3010,76075.0,150.9594117647059
100,부산광역시,동구,2.0,43.0,7.0,87246.0,5.0,29438,8210,6894,5548,4540,2816,1430,42023.0,66.12176470588236
101,부산광역시,동래구,3.0,34.0,21.0,263345.0,15.0,68494,22037,17440,12530,8818,5000,2669,94638.0,169.26529411764704
102,부산광역시,부산진구,4.0,80.0,20.0,351403.0,15.0,95280,29944,23175,17195,12932,7943,4091,101400.0,254.55705882352942
103,부산광역시,북구,2.0,10.0,3.0,280177.0,13.0,71686,25868,17787,12105,8370,4920,2636,80900.0,146.86823529411765
104,부산광역시,사상구,2.0,41.0,5.0,216350.0,13.0,56541,20565,14575,9805,6419,3505,1672,75743.0,135.72
105,부산광역시,사하구,0.0,0.0,0.0,312057.0,22.0,82847,28058,21027,14791,10134,5860,2977,91541.0,180.24705882352941
106,부산광역시,서구,4.0,156.0,40.0,105303.0,6.0,34264,9724,8043,6434,5093,3245,1725,43200.0,91.12823529411764
107,부산광역시,수영구,2.0,39.0,13.0,171461.0,11.0,50046,15129,12343,9635,6706,4061,2172,52725.0,130.43411764705883
108,부산광역시,연제구,1.0,125.0,35.0,204947.0,14.0,55162,17483,13843,10072,7331,4287,2146,84012.0,153.25764705882352
109,부산광역시,영도구,2.0,33.0,3.0,113224.0,5.0,39902,11315,9541,7709,6021,3594,1722,29696.0,72.34058823529412
110,부산광역시,중구,1.0,24.0,6.0,41439.0,4.0,13932,3982,3316,2640,2075,1224,695,13880.0,63.95411764705882
111,부산광역시,해운대구,2.0,41.0,21.0,389535.0,15.0,97281,32013,23664,16902,12532,7865,4305,114679.0,291.1023529411765
112,서울특별시,강남구,2.0,69.0,33.0,508135.0,9.0,100254,31311,24800,19366,12767,7101,4909,232985.0,276.77941176470586
113,서울특별시,강동구,3.0,231.0,36.0,444434.0,7.0,100158,34831,25440,17779,11460,6307,4341,168736.0,277.6970588235294
114,서울특별시,강북구,0.0,0.0,0.0,299535.0,6.0,83650,24580,18938,15730,12931,7526,3945,105224.0,167.81941176470588
115,서울특별시,강서구,2.0,161.0,19.0,564854.0,5.0,126089,42648,30967,22559,14813,9021,6081,199446.0,312.7664705882353
116,서울특별시,관악구,1.0,56.0,10.0,502641.0,3.0,105565,31825,25050,20365,15387,8483,4455,162897.0,272.46588235294115
117,서울특별시,광진구,2.0,28.0,5.0,353967.0,2.0,70213,23752,16654,12193,9079,5441,3094,128383.0,136.0235294117647
118,서울특별시,구로구,2.0,131.0,27.0,435442.0,8.0,96116,30669,23518,18083,12540,7270,4036,157712.0,238.08176470588236
119,서울특별시,금천구,1.0,5.0,0.0,249419.0,4.0,55176,18549,13168,9962,7240,4004,2253,92980.0,123.12764705882353
120,서울특별시,노원구,3.0,71.0,20.0,511982.0,6.0,118020,37840,27501,20405,15638,10082,6554,168622.0,320.0076470588235
121,서울특별시,도봉구,1.0,8.0,1.0,315979.0,7.0,86238,27753,20054,14959,11763,7315,4394,110732.0,172.38176470588235
122,서울특별시,동대문구,4.0,223.0,22.0,351057.0,7.0,81539,24817,18831,14706,11876,7133,4176,131044.0,187.63411764705882
123,서울특별시,동작구,2.0,115.0,14.0,392772.0,3.0,87643,26873,20324,16330,12149,7441,4526,133854.0,181.25529411764705
124,서울특별시,마포구,0.0,0.0,0.0,365612.0,3.0,71183,21665,15545,12539,10431,6793,4210,135772.0,147.99588235294118
125,서울특별시,서대문구,2.0,80.0,32.0,317209.0,4.0,70436,21055,15252,12502,10523,7007,4097,107856.0,163.92
126,서울특별시,서초구,1.0,40.0,17.0,401749.0,4.0,80400,25436,19614,15312,10361,5785,3892,163471.0,159.99529411764706
127,서울특별시,성동구,1.0,42.0,12.0,291918.0,3.0,62418,20417,14169,10878,8602,5311,3041,110116.0,138.56
128,서울특별시,성북구,1.0,41.0,19.0,438833.0,7.0,97869,29909,22047,17617,14216,8953,5127,142980.0,264.8064705882353
129,서울특별시,송파구,2.0,150.0,45.0,643288.0,12.0,133309,46177,34339,23519,14877,8428,5969,249680.0,335.11529411764707
130,서울특별시,양천구,3.0,94.0,23.0,439068.0,3.0,93304,31797,23336,16437,10980,6540,4214,158378.0,230.90823529411765
131,서울특별시,영등포구,5.0,92.0,34.0,403619.0,13.0,80748,25432,18746,14664,10895,6867,4144,163460.0,191.5735294117647
132,서울특별시,은평구,2.0,20.0,11.0,463102.0,6.0,113400,34977,25920,20726,16255,10083,5439,163097.0,302.63470588235293
133,서울특별시,종로구,4.0,285.0,62.0,151291.0,1.0,34852,10384,7581,5986,5209,3467,2225,73433.0,96.1064705882353
134,서울특별시,중랑구,3.0,208.0,0.0,385663.0,2.0,97168,32215,23269,17323,12806,7423,4132,130693.0,244.84823529411764
135,세종특별자치시,세종시,2.0,32.0,9.0,353933.0,5.0,48720,16969,11421,7769,5719,3938,2904,134571.0,104.0535294117647
136,울산광역시,남구,3.0,72.0,11.0,320175.0,16.0,61318,24391,15893,9809,6043,3393,1789,118992.0,139.41941176470587
137,울산광역시,동구,1.0,114.0,15.0,159000.0,3.0,32186,13547,8515,5079,2798,1448,799,50039.0,74.74941176470588
138,울산광역시,북구,1.0,11.0,10.0,217051.0,5.0,28808,12213,6883,4188,2787,1702,1035,76613.0,67.60411764705883
139,울산광역시,울주군,1.0,1.0,1.0,225050.0,11.0,46528,16644,11107,7340,5405,3623,2409,52207.0,95.90117647058824
140,울산광역시,중구,1.0,31.0,12.0,214147.0,5.0,49294,18111,12626,8167,5587,3184,1619,68458.0,97.81823529411764
141,인천광역시,강화군,1.0,2.0,1.0,66020.0,4.0,27776,7382,5741,5029,4257,3095,2272,19769.0,64.77529411764706
142,인천광역시,계양구,2.0,272.0,16.0,292852.0,8.0,59148,24059,13268,8519,6255,4308,2739,99791.0,148.67705882352942
143,인천광역시,남동구,2.0,102.0,31.0,528927.0,17.0,105715,38512,25051,17554,12261,7538,4799,172095.0,302.05
144,인천광역시,미추홀구,2.0,62.0,10.0,405886.0,15.0,95964,31421,21802,17116,12787,7911,4927,140889.0,241.6935294117647
145,인천광역시,부평구,2.0,218.0,25.0,500812.0,7.0,107733,39010,24780,17550,12718,8337,5338,166224.0,295.4435294117647
146,인천광역시,서구,5.0,219.0,63.0,541534.0,10.0,88871,35243,20712,13859,9352,5885,3820,203412.0,223.05176470588236
147,인천광역시,연수구,1.0,27.0,6.0,390260.0,3.0,59460,23896,13356,8746,6216,4197,3049,163736.0,135.61176470588236
148,인천광역시,중구,2.0,91.0,45.0,138586.0,4.0,27203,8656,6311,5042,3643,2119,1432,53198.0,81.95117647058824
149,전라남도,강진군,1.0,49.0,9.0,32778.0,1.0,14154,3251,2546,2554,2360,2088,1355,9116.0,66.4364705882353
