3-1. 성/연령/입지유형별 이동량,,,성별/연령별 이동량은 법인폰 제외로 전국 총계와 다를 수 있음(성별 합계 = 연령별 합계 ≤ 전국 총계 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,전국 총계,,,성별,,,,,,연령별,,,,,,,,,,,,,,,,,,,,,입지유형별,,,,,,,,,,,,,,,,,
,관내/외 합계,관내,관외,관내/외 합계,,관내,,관외,,관내/외 합계,,,,,,,관내,,,,,,,관외,,,,,,,관내/외 합계,,,,,,관내,,,,,,관외,,,,,
,,,,남성,여성,남성,여성,남성,여성,20세 미만,20대,30대,40대,50대,60대,70세 이상,20세 미만,20대,30대,40대,50대,60대,70세 이상,20세 미만,20대,30대,40대,50대,60대,70세 이상,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등,상업지역,관광지,대형아울렛,사무지역,레저스포츠,주거지역 등
2019.05.5주차,"116,271,687 ","78,474,272 ","37,797,415 ","60,705,202 ","55,555,892 ","39,157,692 ","39,309,276 ","21,547,510 ","16,246,616 ","18,704,392 ","16,436,275 ","19,328,525 ","21,857,352 ","20,526,604 ","11,331,139 ","8,076,809 ","15,330,973 ","10,323,449 ","11,978,821 ","13,964,719 ","13,102,479 ","7,630,592 ","6,135,936 ","3,373,419 ","6,112,826 ","7,349,704 ","7,892,633 ","7,424,125 ","3,700,547 ","1,940,873 ","23,247,759 ","2,233,694 ","2,240,416 ","47,556,116 ","2,949,055 ","38,044,648 ","13,859,295 ","1,217,784 ","1,365,939 ","31,830,556 ","2,016,443 ","28,184,256 ","9,388,464 ","1,015,910 ","874,477 ","15,725,560 ","932,612 ","9,860,392 "
2019.06.1주차,"115,996,758 ","77,459,273 ","38,537,485 ","60,445,377 ","55,548,411 ","38,780,147 ","38,677,487 ","21,665,230 ","16,870,924 ","18,939,226 ","16,293,875 ","19,310,244 ","21,720,760 ","20,388,564 ","11,293,211 ","8,047,906 ","14,934,427 ","10,216,306 ","11,841,183 ","13,758,549 ","12,993,834 ","7,589,460 ","6,123,875 ","4,004,799 ","6,077,569 ","7,469,061 ","7,962,211 ","7,394,730 ","3,703,751 ","1,924,031 ","22,896,803 ","2,422,247 ","2,236,749 ","47,089,151 ","3,045,512 ","38,306,296 ","13,780,280 ","1,212,737 ","1,347,993 ","31,383,338 ","1,983,691 ","27,751,234 ","9,116,523 ","1,209,510 ","888,756 ","15,705,813 ","1,061,821 ","10,555,062 "
2019.06.2주차,"114,578,614 ","77,770,110 ","36,808,504 ","59,763,797 ","54,813,761 ","38,761,388 ","39,008,131 ","21,002,409 ","15,805,630 ","18,330,361 ","15,941,256 ","19,089,322 ","21,569,066 ","20,294,183 ","11,278,355 ","8,075,014 ","15,177,500 ","10,134,503 ","11,866,594 ","13,813,372 ","12,989,797 ","7,615,829 ","6,171,924 ","3,152,861 ","5,806,753 ","7,222,728 ","7,755,694 ","7,304,386 ","3,662,526 ","1,903,090 ","22,658,240 ","2,197,622 ","2,183,200 ","47,010,888 ","2,916,170 ","37,612,494 ","13,727,282 ","1,210,514 ","1,345,830 ","31,560,285 ","1,996,134 ","27,930,065 ","8,930,958 ","987,108 ","837,370 ","15,450,603 ","920,036 ","9,682,429 "
2019.06.3주차,"115,253,801 ","77,936,992 ","37,316,809 ","60,192,585 ","55,060,475 ","38,893,533 ","39,043,012 ","21,299,052 ","16,017,463 ","18,388,535 ","16,322,627 ","19,203,775 ","21,661,304 ","20,392,225 ","11,271,991 ","8,012,601 ","15,210,728 ","10,152,583 ","11,905,680 ","13,859,727 ","13,038,263 ","7,624,763 ","6,144,799 ","3,177,807 ","6,170,044 ","7,298,095 ","7,801,577 ","7,353,962 ","3,647,228 ","1,867,802 ","22,895,270 ","2,235,669 ","2,213,915 ","46,976,809 ","2,935,319 ","37,996,819 ","13,700,388 ","1,217,842 ","1,360,822 ","31,538,281 ","1,999,177 ","28,120,481 ","9,194,882 ","1,017,827 ","853,093 ","15,438,528 ","936,142 ","9,876,338 "
2019.06.4주차,"114,634,398 ","77,483,455 ","37,150,943 ","60,145,871 ","54,481,859 ","38,734,708 ","38,744,237 ","21,411,163 ","15,737,622 ","17,981,291 ","16,406,851 ","19,283,611 ","21,619,605 ","20,278,465 ","11,150,662 ","7,907,244 ","14,977,013 ","10,018,715 ","11,935,102 ","13,851,070 ","12,998,371 ","7,580,024 ","6,118,651 ","3,004,278 ","6,388,136 ","7,348,509 ","7,768,535 ","7,280,094 ","3,570,638 ","1,788,593 ","22,852,559 ","2,223,747 ","2,199,330 ","46,813,908 ","2,903,389 ","37,641,465 ","13,664,308 ","1,211,755 ","1,341,904 ","31,369,799 ","1,978,645 ","27,917,045 ","9,188,251 ","1,011,992 ","857,426 ","15,444,109 ","924,744 ","9,724,420 "
2019.07.1주차,"114,854,364 ","77,803,319 ","37,051,045 ","60,117,130 ","54,733,415 ","38,896,856 ","38,904,328 ","21,220,274 ","15,829,087 ","18,426,773 ","16,274,352 ","19,181,379 ","21,619,042 ","20,265,955 ","11,163,100 ","7,919,945 ","15,237,822 ","10,210,398 ","11,881,485 ","13,820,251 ","12,982,742 ","7,575,897 ","6,092,589 ","3,188,951 ","6,063,954 ","7,299,894 ","7,798,791 ","7,283,213 ","3,587,203 ","1,827,356 ","22,949,150 ","2,256,141 ","2,198,682 ","46,746,419 ","2,911,851 ","37,792,122 ","13,697,858 ","1,215,408 ","1,346,170 ","31,519,653 ","1,989,344 ","28,034,886 ","9,251,292 ","1,040,733 ","852,512 ","15,226,766 ","922,507 ","9,757,236 "
2019.07.2주차,"115,019,769 ","77,794,314 ","37,225,455 ","60,350,139 ","54,660,287 ","38,966,944 ","38,823,111 ","21,383,195 ","15,837,176 ","18,388,945 ","16,413,237 ","19,240,442 ","21,671,087 ","20,303,530 ","11,134,049 ","7,859,135 ","15,137,643 ","10,282,727 ","11,884,287 ","13,811,523 ","12,998,192 ","7,578,766 ","6,096,917 ","3,251,302 ","6,130,510 ","7,356,155 ","7,859,564 ","7,305,338 ","3,555,283 ","1,762,218 ","22,958,733 ","2,275,894 ","2,201,285 ","46,707,422 ","2,969,427 ","37,907,007 ","13,664,254 ","1,218,343 ","1,348,680 ","31,479,544 ","2,002,972 ","28,080,521 ","9,294,479 ","1,057,551 ","852,605 ","15,227,878 ","966,455 ","9,826,486 "
2019.07.3주차,"113,538,341 ","77,486,762 ","36,051,579 ","59,402,224 ","54,128,072 ","38,719,171 ","38,764,025 ","20,683,053 ","15,364,047 ","18,194,404 ","16,026,360 ","18,966,317 ","21,442,478 ","20,041,276 ","11,021,594 ","7,837,866 ","15,060,586 ","10,166,587 ","11,851,489 ","13,774,249 ","12,958,590 ","7,568,992 ","6,102,702 ","3,133,818 ","5,859,773 ","7,114,828 ","7,668,229 ","7,082,686 ","3,452,602 ","1,735,164 ","22,740,925 ","2,168,776 ","2,174,531 ","46,340,969 ","2,874,322 ","37,238,818 ","13,623,552 ","1,198,168 ","1,342,645 ","31,399,252 ","1,985,541 ","27,937,604 ","9,117,373 ","970,608 ","831,886 ","14,941,717 ","888,781 ","9,301,214 "
2019.07.4주차,"113,341,497 ","76,219,766 ","37,121,731 ","59,323,075 ","54,014,273 ","38,192,252 ","38,024,736 ","21,130,823 ","15,989,537 ","18,257,706 ","16,072,919 ","18,939,192 ","21,368,066 ","19,970,508 ","10,967,962 ","7,760,995 ","14,475,848 ","10,097,707 ","11,694,489 ","13,567,115 ","12,857,971 ","7,511,299 ","6,012,558 ","3,781,858 ","5,975,212 ","7,244,703 ","7,800,951 ","7,112,537 ","3,456,663 ","1,748,437 ","22,493,035 ","2,287,545 ","2,158,934 ","45,987,147 ","2,946,655 ","37,468,181 ","13,384,348 ","1,188,163 ","1,324,255 ","30,875,050 ","1,949,702 ","27,498,248 ","9,108,687 ","1,099,382 ","834,679 ","15,112,097 ","996,953 ","9,969,933 "
2019.08.1주차,"113,845,295 ","72,801,975 ","41,043,320 ","59,369,313 ","54,459,415 ","36,607,883 ","36,183,305 ","22,761,430 ","18,276,110 ","18,587,366 ","16,185,547 ","19,117,790 ","21,460,280 ","19,890,185 ","10,881,942 ","7,705,618 ","13,276,248 ","9,818,316 ","11,186,144 ","12,990,712 ","12,387,175 ","7,264,492 ","5,868,101 ","5,311,118 ","6,367,231 ","7,931,646 ","8,469,568 ","7,503,010 ","3,617,450 ","1,837,517 ","21,916,457 ","2,772,441 ","2,181,371 ","44,843,059 ","3,300,487 ","38,831,482 ","12,725,145 ","1,170,242 ","1,268,340 ","29,337,150 ","1,900,772 ","26,400,327 ","9,191,312 ","1,602,199 ","913,031 ","15,505,909 ","1,399,715 ","12,431,155 "
