4-1. 시도별 이동량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관내/외 합계,,,,,,,,,,,,,,,,,관내,,,,,,,,,,,,,,,,,관외,,,,,,,,,,,,,,,,
시도별,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주
2019.05.3주차,"24,700,291 ","8,158,242 ","5,656,041 ","6,536,658 ","3,498,579 ","3,481,573 ","2,629,090 ","547,269 ","27,254,073 ","3,561,174 ","3,438,527 ","4,522,801 ","4,129,149 ","3,780,543 ","5,666,288 ","7,055,282 ","1,684,486 ","14,593,325 ","5,249,971 ","3,746,661 ","4,463,368 ","2,400,157 ","2,318,472 ","1,842,903 ","409,240 ","18,662,771 ","2,662,196 ","2,327,132 ","3,176,069 ","3,093,361 ","2,795,788 ","4,192,867 ","5,268,737 ","1,234,667 ","10,106,966 ","2,908,271 ","1,909,380 ","2,073,290 ","1,098,422 ","1,163,101 ","786,187 ","138,029 ","8,591,302 ","898,978 ","1,111,395 ","1,346,732 ","1,035,788 ","984,755 ","1,473,421 ","1,786,545 ","449,819 "
2019.05.4주차,"24,781,739 ","8,299,793 ","5,693,082 ","6,573,173 ","3,519,295 ","3,488,004 ","2,678,832 ","561,068 ","27,436,999 ","3,561,787 ","3,487,989 ","4,555,588 ","4,198,722 ","3,880,766 ","5,717,728 ","7,174,787 ","1,718,731 ","14,609,404 ","5,303,418 ","3,761,837 ","4,475,085 ","2,416,732 ","2,331,212 ","1,866,189 ","418,445 ","18,732,042 ","2,668,995 ","2,342,102 ","3,198,120 ","3,116,388 ","2,831,091 ","4,211,754 ","5,316,469 ","1,257,306 ","10,172,335 ","2,996,375 ","1,931,245 ","2,098,088 ","1,102,563 ","1,156,792 ","812,643 ","142,623 ","8,704,957 ","892,792 ","1,145,887 ","1,357,468 ","1,082,334 ","1,049,675 ","1,505,974 ","1,858,318 ","461,425 "
2019.05.5주차,"24,544,045 ","8,246,483 ","5,668,076 ","6,556,484 ","3,488,486 ","3,477,977 ","2,640,036 ","555,768 ","27,255,859 ","3,541,939 ","3,448,645 ","4,497,071 ","4,087,931 ","3,796,849 ","5,702,336 ","7,089,534 ","1,674,161 ","14,527,132 ","5,295,807 ","3,760,935 ","4,462,898 ","2,406,188 ","2,324,020 ","1,853,279 ","416,395 ","18,653,984 ","2,661,441 ","2,329,231 ","3,171,918 ","3,071,189 ","2,807,250 ","4,208,255 ","5,285,760 ","1,238,584 ","10,016,913 ","2,950,676 ","1,907,141 ","2,093,586 ","1,082,298 ","1,153,957 ","786,757 ","139,373 ","8,601,875 ","880,498 ","1,119,414 ","1,325,153 ","1,016,742 ","989,599 ","1,494,081 ","1,803,774 ","435,577 "
2019.06.1주차,"23,888,569 ","8,309,079 ","5,637,962 ","6,511,071 ","3,441,541 ","3,429,010 ","2,636,439 ","546,077 ","27,072,077 ","3,780,187 ","3,478,288 ","4,572,412 ","4,104,890 ","3,904,522 ","5,797,164 ","7,169,335 ","1,718,117 ","14,298,284 ","5,299,093 ","3,730,397 ","4,419,028 ","2,365,340 ","2,282,176 ","1,842,049 ","402,118 ","18,421,211 ","2,606,625 ","2,274,161 ","3,124,952 ","3,008,603 ","2,768,152 ","4,155,825 ","5,228,455 ","1,232,798 ","9,590,285 ","3,009,986 ","1,907,565 ","2,092,043 ","1,076,201 ","1,146,834 ","794,390 ","143,959 ","8,650,866 ","1,173,562 ","1,204,127 ","1,447,460 ","1,096,287 ","1,136,370 ","1,641,339 ","1,940,880 ","485,319 "
2019.06.2주차,"24,116,585 ","8,161,165 ","5,563,260 ","6,449,200 ","3,386,450 ","3,407,062 ","2,605,535 ","552,144 ","26,896,224 ","3,505,049 ","3,433,839 ","4,479,164 ","4,008,734 ","3,728,377 ","5,615,166 ","7,002,879 ","1,667,785 ","14,388,235 ","5,291,968 ","3,728,726 ","4,436,201 ","2,357,445 ","2,293,939 ","1,849,234 ","411,683 ","18,534,340 ","2,617,574 ","2,289,302 ","3,155,370 ","3,024,810 ","2,762,979 ","4,160,271 ","5,236,113 ","1,231,919 ","9,728,350 ","2,869,197 ","1,834,534 ","2,012,999 ","1,029,005 ","1,113,123 ","756,301 ","140,461 ","8,361,884 ","887,475 ","1,144,537 ","1,323,794 ","983,924 ","965,398 ","1,454,895 ","1,766,766 ","435,866 "
2019.06.3주차,"24,183,275 ","8,269,707 ","5,589,167 ","6,446,692 ","3,425,013 ","3,414,782 ","2,645,989 ","550,235 ","27,030,180 ","3,535,937 ","3,423,769 ","4,478,476 ","4,048,035 ","3,782,646 ","5,666,684 ","7,097,771 ","1,665,447 ","14,434,039 ","5,323,704 ","3,727,152 ","4,426,038 ","2,365,981 ","2,288,633 ","1,864,616 ","410,641 ","18,543,647 ","2,608,043 ","2,299,188 ","3,142,289 ","3,039,502 ","2,789,407 ","4,167,176 ","5,273,377 ","1,233,558 ","9,749,236 ","2,946,003 ","1,862,015 ","2,020,654 ","1,059,032 ","1,126,149 ","781,373 ","139,594 ","8,486,533 ","927,894 ","1,124,581 ","1,336,187 ","1,008,533 ","993,239 ","1,499,508 ","1,824,394 ","431,889 "
2019.06.4주차,"24,160,657 ","8,134,953 ","5,564,347 ","6,479,914 ","3,404,560 ","3,385,663 ","2,638,832 ","544,703 ","27,047,062 ","3,567,038 ","3,387,338 ","4,407,474 ","3,974,297 ","3,705,537 ","5,578,437 ","7,012,932 ","1,640,648 ","14,398,441 ","5,260,030 ","3,701,143 ","4,426,310 ","2,352,252 ","2,268,001 ","1,856,014 ","403,906 ","18,500,763 ","2,594,697 ","2,273,057 ","3,106,829 ","3,003,860 ","2,758,708 ","4,130,432 ","5,232,636 ","1,216,370 ","9,762,216 ","2,874,923 ","1,863,204 ","2,053,604 ","1,052,308 ","1,117,662 ","782,818 ","140,797 ","8,546,299 ","972,341 ","1,114,281 ","1,300,645 ","970,437 ","946,829 ","1,448,005 ","1,780,296 ","424,278 "
2019.07.1주차,"24,195,965 ","8,162,990 ","5,550,092 ","6,460,897 ","3,409,238 ","3,420,981 ","2,617,409 ","538,775 ","26,953,965 ","3,605,721 ","3,410,606 ","4,410,965 ","4,016,461 ","3,746,702 ","5,652,141 ","7,083,667 ","1,617,784 ","14,449,435 ","5,250,285 ","3,703,459 ","4,438,545 ","2,360,549 ","2,289,825 ","1,844,833 ","403,450 ","18,538,739 ","2,622,312 ","2,316,936 ","3,118,892 ","3,032,120 ","2,782,270 ","4,179,576 ","5,263,100 ","1,208,994 ","9,746,530 ","2,912,705 ","1,846,633 ","2,022,352 ","1,048,689 ","1,131,156 ","772,576 ","135,325 ","8,415,226 ","983,409 ","1,093,670 ","1,292,073 ","984,341 ","964,432 ","1,472,565 ","1,820,567 ","408,790 "
2019.07.2주차,"24,188,318 ","8,168,971 ","5,575,906 ","6,451,122 ","3,439,051 ","3,415,934 ","2,632,005 ","529,830 ","26,942,815 ","3,646,650 ","3,409,229 ","4,410,701 ","4,035,096 ","3,776,839 ","5,685,110 ","7,077,699 ","1,634,497 ","14,430,364 ","5,237,682 ","3,707,318 ","4,429,454 ","2,371,635 ","2,292,192 ","1,850,198 ","397,679 ","18,520,331 ","2,625,210 ","2,319,597 ","3,123,466 ","3,040,941 ","2,794,073 ","4,192,786 ","5,251,426 ","1,209,968 ","9,757,954 ","2,931,289 ","1,868,588 ","2,021,668 ","1,067,416 ","1,123,742 ","781,807 ","132,151 ","8,422,484 ","1,021,440 ","1,089,632 ","1,287,235 ","994,155 ","982,766 ","1,492,324 ","1,826,273 ","424,529 "
2019.07.3주차,"24,143,639 ","7,885,388 ","5,538,243 ","6,441,891 ","3,404,877 ","3,390,107 ","2,551,655 ","528,093 ","26,854,578 ","3,609,963 ","3,366,783 ","4,360,292 ","3,961,586 ","3,607,562 ","5,506,284 ","6,819,310 ","1,568,085 ","14,453,569 ","5,169,245 ","3,710,240 ","4,435,169 ","2,365,309 ","2,286,173 ","1,826,423 ","397,704 ","18,529,123 ","2,613,673 ","2,312,947 ","3,118,060 ","3,023,610 ","2,741,615 ","4,142,348 ","5,181,003 ","1,180,545 ","9,690,070 ","2,716,143 ","1,828,003 ","2,006,722 ","1,039,568 ","1,103,934 ","725,232 ","130,389 ","8,325,455 ","996,290 ","1,053,836 ","1,242,232 ","937,976 ","865,947 ","1,363,936 ","1,638,307 ","387,540 "
