4-1. 시도별 이동량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,관내/외 합계,,,,,,,,,,,,,,,,,관내,,,,,,,,,,,,,,,,,관외,,,,,,,,,,,,,,,,
시도별,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주,11_서울,21_부산,22_대구,23_인천,24_광주,25_대전,26_울산,29_세종,31_경기,32_강원,33_충북,34_충남,35_전북,36_전남,37_경북,38_경남,39_제주
2020.03.2주차,"19,924,207 ","6,985,018 ","4,224,583 ","5,533,516 ","2,993,607 ","2,875,795 ","2,277,881 ","471,220 ","23,484,602 ","2,931,808 ","2,971,256 ","3,797,601 ","3,593,058 ","3,455,114 ","4,678,839 ","6,361,422 ","1,347,007 ","12,899,468 ","4,869,726 ","3,162,370 ","3,984,993 ","2,148,955 ","2,036,086 ","1,670,608 ","358,368 ","16,761,048 ","2,314,422 ","2,118,720 ","2,822,421 ","2,784,364 ","2,586,091 ","3,681,651 ","4,873,614 ","1,104,572 ","7,024,739 ","2,115,292 ","1,062,213 ","1,548,523 ","844,652 ","839,709 ","607,273 ","112,852 ","6,723,554 ","617,386 ","852,536 ","975,180 ","808,694 ","869,023 ","997,188 ","1,487,808 ","242,435 "
2020.03.3주차,"20,116,186 ","7,081,116 ","4,341,795 ","5,576,137 ","3,045,214 ","2,926,255 ","2,308,361 ","481,566 ","23,739,742 ","3,017,968 ","3,035,441 ","3,908,170 ","3,646,507 ","3,554,900 ","4,815,784 ","6,466,668 ","1,376,167 ","12,906,384 ","4,872,330 ","3,190,266 ","3,982,685 ","2,175,077 ","2,044,921 ","1,672,639 ","362,351 ","16,756,315 ","2,334,147 ","2,127,037 ","2,843,744 ","2,793,722 ","2,613,784 ","3,705,094 ","4,886,974 ","1,118,560 ","7,209,802 ","2,208,786 ","1,151,529 ","1,593,452 ","870,137 ","881,334 ","635,722 ","119,215 ","6,983,427 ","683,821 ","908,404 ","1,064,426 ","852,785 ","941,116 ","1,110,690 ","1,579,694 ","257,607 "
2020.03.4주차,"20,257,259 ","7,045,473 ","4,409,938 ","5,598,652 ","3,031,378 ","2,917,820 ","2,293,575 ","489,277 ","23,847,451 ","3,033,571 ","3,048,986 ","3,938,983 ","3,629,871 ","3,450,632 ","4,831,249 ","6,418,062 ","1,326,532 ","12,894,470 ","4,841,212 ","3,199,452 ","3,978,291 ","2,160,435 ","2,033,515 ","1,661,684 ","364,899 ","16,725,460 ","2,342,482 ","2,119,777 ","2,843,105 ","2,778,421 ","2,571,299 ","3,702,919 ","4,847,491 ","1,096,164 ","7,362,789 ","2,204,261 ","1,210,486 ","1,620,361 ","870,943 ","884,305 ","631,891 ","124,378 ","7,121,991 ","691,089 ","929,209 ","1,095,878 ","851,450 ","879,333 ","1,128,330 ","1,570,571 ","230,368 "
2020.04.1주차,"20,495,790 ","7,275,217 ","4,618,521 ","5,649,422 ","3,078,276 ","2,979,773 ","2,373,094 ","506,547 ","24,178,543 ","3,080,445 ","3,130,130 ","4,046,204 ","3,711,695 ","3,554,045 ","5,056,387 ","6,494,891 ","1,348,548 ","13,148,519 ","4,990,834 ","3,315,588 ","4,048,000 ","2,206,198 ","2,080,693 ","1,716,229 ","379,575 ","17,031,191 ","2,393,332 ","2,169,607 ","2,908,700 ","2,832,938 ","2,633,741 ","3,834,278 ","4,911,679 ","1,130,883 ","7,347,271 ","2,284,383 ","1,302,933 ","1,601,422 ","872,078 ","899,080 ","656,865 ","126,972 ","7,147,352 ","687,113 ","960,523 ","1,137,504 ","878,757 ","920,304 ","1,222,109 ","1,583,212 ","217,665 "
2020.04.2주차,"20,766,054 ","7,301,866 ","4,714,300 ","5,718,572 ","3,115,051 ","2,993,101 ","2,369,696 ","509,216 ","24,433,530 ","3,067,824 ","3,123,027 ","4,087,689 ","3,720,791 ","3,491,613 ","5,021,151 ","6,404,755 ","1,332,729 ","13,281,810 ","5,019,782 ","3,356,529 ","4,091,404 ","2,231,300 ","2,091,473 ","1,723,000 ","383,667 ","17,196,351 ","2,410,832 ","2,182,623 ","2,937,167 ","2,852,212 ","2,633,272 ","3,852,016 ","4,902,254 ","1,131,168 ","7,484,244 ","2,282,084 ","1,357,771 ","1,627,168 ","883,751 ","901,628 ","646,696 ","125,549 ","7,237,179 ","656,992 ","940,404 ","1,150,522 ","868,579 ","858,341 ","1,169,135 ","1,502,501 ","201,561 "
2020.04.3주차,"20,700,995 ","7,360,131 ","4,788,934 ","5,770,749 ","3,103,194 ","3,004,047 ","2,369,533 ","511,586 ","24,678,815 ","3,095,247 ","3,115,761 ","4,084,854 ","3,700,955 ","3,506,280 ","5,038,858 ","6,468,377 ","1,342,399 ","13,329,527 ","5,009,880 ","3,374,658 ","4,113,452 ","2,213,801 ","2,089,728 ","1,713,016 ","382,706 ","17,319,976 ","2,403,371 ","2,168,411 ","2,916,994 ","2,825,373 ","2,617,297 ","3,832,639 ","4,914,851 ","1,120,402 ","7,371,468 ","2,350,251 ","1,414,276 ","1,657,297 ","889,393 ","914,319 ","656,517 ","128,880 ","7,358,839 ","691,876 ","947,350 ","1,167,860 ","875,582 ","888,983 ","1,206,219 ","1,553,526 ","221,997 "
2020.04.4주차,"21,445,896 ","7,536,132 ","4,933,220 ","5,822,913 ","3,193,267 ","3,050,026 ","2,438,399 ","515,999 ","24,941,794 ","3,140,647 ","3,129,780 ","4,108,695 ","3,754,244 ","3,572,962 ","5,156,895 ","6,602,104 ","1,396,221 ","13,462,557 ","5,058,958 ","3,406,872 ","4,128,362 ","2,256,671 ","2,097,843 ","1,739,441 ","384,097 ","17,387,177 ","2,439,162 ","2,164,161 ","2,926,871 ","2,856,679 ","2,647,185 ","3,879,160 ","4,973,278 ","1,141,840 ","7,983,339 ","2,477,174 ","1,526,348 ","1,694,551 ","936,596 ","952,183 ","698,958 ","131,902 ","7,554,617 ","701,485 ","965,619 ","1,181,824 ","897,565 ","925,777 ","1,277,735 ","1,628,826 ","254,381 "
2020.04.5주차,"21,112,052 ","7,701,726 ","5,007,423 ","5,964,124 ","3,253,237 ","3,086,599 ","2,436,322 ","524,909 ","25,439,250 ","3,850,832 ","3,327,147 ","4,547,340 ","4,118,744 ","4,067,773 ","5,579,888 ","6,983,517 ","1,562,124 ","13,339,337 ","5,044,925 ","3,407,567 ","4,097,340 ","2,246,721 ","2,077,071 ","1,699,771 ","375,142 ","17,188,342 ","2,445,108 ","2,141,563 ","2,887,757 ","2,863,224 ","2,627,980 ","3,861,369 ","4,918,903 ","1,144,272 ","7,772,715 ","2,656,801 ","1,599,856 ","1,866,784 ","1,006,516 ","1,009,528 ","736,551 ","149,767 ","8,250,908 ","1,405,724 ","1,185,584 ","1,659,583 ","1,255,520 ","1,439,793 ","1,718,519 ","2,064,614 ","417,852 "
2020.05.1주차,"21,829,622 ","7,775,277 ","5,154,317 ","6,040,082 ","3,347,474 ","3,173,466 ","2,475,619 ","528,234 ","25,776,559 ","3,356,794 ","3,241,254 ","4,286,747 ","3,986,608 ","3,787,817 ","5,433,170 ","6,868,666 ","1,471,502 ","13,831,141 ","5,194,669 ","3,514,607 ","4,247,013 ","2,341,298 ","2,155,293 ","1,756,612 ","391,673 ","17,847,793 ","2,512,068 ","2,207,189 ","2,991,390 ","2,962,500 ","2,724,515 ","3,981,858 ","5,077,307 ","1,177,935 ","7,998,481 ","2,580,608 ","1,639,710 ","1,793,069 ","1,006,176 ","1,018,173 ","719,007 ","136,561 ","7,928,766 ","844,726 ","1,034,065 ","1,295,357 ","1,024,108 ","1,063,302 ","1,451,312 ","1,791,359 ","293,567 "
2020.05.2주차,"22,083,903 ","7,797,394 ","5,154,086 ","5,919,490 ","3,397,744 ","3,206,445 ","2,506,363 ","535,202 ","25,547,868 ","3,272,171 ","3,220,953 ","4,224,639 ","3,911,050 ","3,683,660 ","5,368,773 ","6,797,823 ","1,468,259 ","13,852,325 ","5,212,373 ","3,521,955 ","4,203,876 ","2,377,528 ","2,176,887 ","1,775,744 ","397,758 ","17,813,182 ","2,510,282 ","2,215,676 ","3,007,172 ","2,963,194 ","2,720,121 ","4,005,796 ","5,095,937 ","1,163,552 ","8,231,578 ","2,585,021 ","1,632,131 ","1,715,614 ","1,020,216 ","1,029,558 ","730,619 ","137,444 ","7,734,686 ","761,889 ","1,005,277 ","1,217,467 ","947,856 ","963,539 ","1,362,977 ","1,701,886 ","304,707 "
2020.05.3주차,"22,139,540 ","7,809,038 ","5,152,000 ","5,888,037 ","3,345,850 ","3,198,893 ","2,508,164 ","534,983 ","25,539,507 ","3,305,317 ","3,226,261 ","4,243,768 ","3,871,883 ","3,669,301 ","5,414,976 ","6,837,062 ","1,512,345 ","13,806,050 ","5,187,018 ","3,506,884 ","4,181,641 ","2,339,608 ","2,167,079 ","1,768,762 ","396,013 ","17,729,983 ","2,506,491 ","2,208,481 ","2,994,173 ","2,922,238 ","2,680,271 ","3,998,550 ","5,080,723 ","1,167,933 ","8,333,490 ","2,622,020 ","1,645,116 ","1,706,396 ","1,006,242 ","1,031,814 ","739,402 ","138,970 ","7,809,524 ","798,826 ","1,017,780 ","1,249,595 ","949,645 ","989,030 ","1,416,426 ","1,756,339 ","344,412 "
2020.05.4주차,"22,242,545 ","7,878,593 ","5,170,857 ","5,906,738 ","3,312,181 ","3,229,959 ","2,525,587 ","541,462 ","25,697,361 ","3,419,178 ","3,269,359 ","4,298,646 ","3,934,136 ","3,739,564 ","5,437,927 ","6,869,414 ","1,516,265 ","13,791,499 ","5,210,034 ","3,509,053 ","4,171,835 ","2,307,390 ","2,174,526 ","1,773,968 ","396,706 ","17,710,081 ","2,532,421 ","2,215,035 ","3,001,071 ","2,945,407 ","2,706,533 ","3,994,341 ","5,086,970 ","1,163,327 ","8,451,046 ","2,668,559 ","1,661,804 ","1,734,903 ","1,004,791 ","1,055,433 ","751,619 ","144,756 ","7,987,280 ","886,757 ","1,054,324 ","1,297,575 ","988,729 ","1,033,031 ","1,443,586 ","1,782,444 ","352,938 "
2020.06.1주차,"22,256,898 ","8,012,192 ","5,216,413 ","5,909,726 ","3,318,136 ","3,244,524 ","2,564,616 ","540,558 ","25,828,860 ","3,531,689 ","3,304,464 ","4,358,403 ","4,002,333 ","3,817,656 ","5,499,057 ","6,973,795 ","1,549,366 ","13,988,566 ","5,343,873 ","3,577,967 ","4,212,179 ","2,329,723 ","2,207,261 ","1,818,770 ","402,017 ","17,962,688 ","2,580,029 ","2,256,273 ","3,054,961 ","3,009,071 ","2,762,892 ","4,056,005 ","5,185,330 ","1,194,835 ","8,268,332 ","2,668,319 ","1,638,446 ","1,697,547 ","988,413 ","1,037,263 ","745,846 ","138,541 ","7,866,172 ","951,660 ","1,048,191 ","1,303,442 ","993,262 ","1,054,764 ","1,443,052 ","1,788,465 ","354,531 "
2020.06.2주차,"22,165,584 ","7,906,824 ","5,212,959 ","5,937,537 ","3,314,949 ","3,225,743 ","2,532,845 ","535,184 ","25,721,672 ","3,466,575 ","3,267,971 ","4,253,564 ","3,949,224 ","3,681,733 ","5,371,722 ","6,791,444 ","1,500,534 ","13,861,431 ","5,283,241 ","3,560,238 ","4,208,199 ","2,318,864 ","2,187,923 ","1,804,807 ","398,087 ","17,846,044 ","2,559,327 ","2,236,884 ","3,026,332 ","3,007,215 ","2,735,891 ","4,014,945 ","5,126,305 ","1,170,854 ","8,304,153 ","2,623,583 ","1,652,721 ","1,729,338 ","996,085 ","1,037,820 ","728,038 ","137,097 ","7,875,628 ","907,248 ","1,031,087 ","1,227,232 ","942,009 ","945,842 ","1,356,777 ","1,665,139 ","329,680 "
2020.06.3주차,"22,357,415 ","8,036,011 ","5,252,818 ","5,994,205 ","3,330,895 ","3,120,426 ","2,560,390 ","532,118 ","25,877,824 ","3,567,854 ","3,321,924 ","4,334,343 ","4,005,423 ","3,768,174 ","5,489,869 ","6,941,968 ","1,545,470 ","13,862,636 ","5,289,791 ","3,553,411 ","4,209,336 ","2,312,666 ","2,143,652 ","1,803,087 ","392,380 ","17,804,657 ","2,552,177 ","2,238,101 ","3,023,846 ","3,006,550 ","2,734,598 ","4,010,794 ","5,132,702 ","1,176,941 ","8,494,779 ","2,746,220 ","1,699,407 ","1,784,869 ","1,018,229 ","976,774 ","757,303 ","139,738 ","8,073,167 ","1,015,677 ","1,083,823 ","1,310,497 ","998,873 ","1,033,576 ","1,479,075 ","1,809,266 ","368,529 "
2020.06.4주차,"22,216,451 ","8,027,008 ","5,275,259 ","5,972,789 ","3,318,427 ","3,027,660 ","2,555,221 ","527,071 ","25,678,378 ","3,532,055 ","3,299,743 ","4,274,952 ","3,958,321 ","3,748,770 ","5,475,379 ","6,909,331 ","1,562,650 ","13,730,482 ","5,249,269 ","3,544,404 ","4,180,267 ","2,295,144 ","2,103,417 ","1,789,510 ","389,302 ","17,677,149 ","2,530,922 ","2,224,178 ","3,001,805 ","2,969,556 ","2,719,508 ","3,987,392 ","5,092,859 ","1,174,398 ","8,485,969 ","2,777,739 ","1,730,855 ","1,792,522 ","1,023,283 ","924,243 ","765,711 ","137,769 ","8,001,229 ","1,001,133 ","1,075,565 ","1,273,147 ","988,765 ","1,029,262 ","1,487,987 ","1,816,472 ","388,252 "
2020.07.1주차,"22,477,594 ","8,047,561 ","5,312,364 ","6,069,088 ","3,054,667 ","3,023,491 ","2,570,270 ","525,847 ","26,026,025 ","3,575,385 ","3,300,156 ","4,307,092 ","3,953,396 ","3,674,623 ","5,483,500 ","6,943,599 ","1,557,727 ","13,928,636 ","5,304,799 ","3,599,384 ","4,253,638 ","2,207,349 ","2,117,737 ","1,815,994 ","392,503 ","17,969,311 ","2,564,840 ","2,250,554 ","3,054,639 ","3,004,704 ","2,730,631 ","4,035,110 ","5,166,848 ","1,179,074 ","8,548,958 ","2,742,762 ","1,712,980 ","1,815,450 ","847,318 ","905,754 ","754,276 ","133,344 ","8,056,714 ","1,010,545 ","1,049,602 ","1,252,453 ","948,692 ","943,992 ","1,448,390 ","1,776,751 ","378,653 "
2020.07.2주차,"22,304,808 ","7,898,171 ","5,250,374 ","6,028,992 ","2,733,363 ","2,985,294 ","2,542,577 ","516,951 ","25,772,900 ","3,553,820 ","3,256,887 ","4,244,374 ","3,902,524 ","3,572,365 ","5,392,534 ","6,812,795 ","1,535,248 ","13,845,733 ","5,260,012 ","3,578,972 ","4,235,174 ","2,016,109 ","2,098,850 ","1,808,064 ","386,930 ","17,850,996 ","2,539,372 ","2,229,111 ","3,021,526 ","2,978,225 ","2,680,275 ","4,001,585 ","5,115,904 ","1,155,250 ","8,459,075 ","2,638,159 ","1,671,402 ","1,793,818 ","717,254 ","886,444 ","734,513 ","130,021 ","7,921,904 ","1,014,448 ","1,027,776 ","1,222,848 ","924,299 ","892,090 ","1,390,949 ","1,696,891 ","379,998 "
2020.07.3주차,"22,354,631 ","8,080,675 ","5,346,812 ","6,034,472 ","3,010,874 ","3,054,229 ","2,589,042 ","524,329 ","25,761,441 ","3,610,549 ","3,264,582 ","4,234,731 ","3,919,281 ","3,645,179 ","5,481,688 ","6,933,342 ","1,606,176 ","13,799,323 ","5,304,746 ","3,602,310 ","4,223,491 ","2,175,183 ","2,108,706 ","1,826,310 ","387,064 ","17,747,230 ","2,529,536 ","2,213,884 ","2,991,438 ","2,966,976 ","2,683,382 ","4,017,373 ","5,153,901 ","1,167,332 ","8,555,308 ","2,775,929 ","1,744,502 ","1,810,981 ","835,691 ","945,523 ","762,732 ","137,265 ","8,014,211 ","1,081,013 ","1,050,698 ","1,243,293 ","952,305 ","961,797 ","1,464,315 ","1,779,441 ","438,844 "
2020.07.4주차,"22,329,293 ","7,947,941 ","5,274,552 ","6,023,736 ","3,083,321 ","3,075,030 ","2,568,263 ","519,443 ","25,729,872 ","3,489,257 ","3,208,840 ","4,202,610 ","3,892,207 ","3,629,550 ","5,381,605 ","6,860,990 ","1,574,287 ","13,769,620 ","5,241,584 ","3,567,011 ","4,207,085 ","2,220,962 ","2,112,428 ","1,813,535 ","385,822 ","17,708,935 ","2,509,228 ","2,194,088 ","2,979,861 ","2,954,734 ","2,677,387 ","3,980,290 ","5,112,181 ","1,164,514 ","8,559,673 ","2,706,357 ","1,707,541 ","1,816,651 ","862,359 ","962,602 ","754,728 ","133,621 ","8,020,937 ","980,029 ","1,014,752 ","1,222,749 ","937,473 ","952,163 ","1,401,315 ","1,748,809 ","409,773 "
2020.07.5주차,"21,908,572 ","7,928,520 ","5,201,591 ","5,884,062 ","3,144,534 ","3,078,872 ","2,546,089 ","519,826 ","25,222,967 ","3,896,780 ","3,261,401 ","4,270,158 ","3,994,112 ","3,930,210 ","5,658,633 ","7,044,698 ","1,633,033 ","13,552,538 ","5,136,884 ","3,492,605 ","4,119,884 ","2,231,988 ","2,103,889 ","1,766,661 ","382,682 ","17,394,518 ","2,501,900 ","2,175,055 ","2,939,403 ","2,923,117 ","2,684,887 ","3,956,478 ","5,022,874 ","1,170,395 ","8,356,034 ","2,791,636 ","1,708,986 ","1,764,178 ","912,546 ","974,983 ","779,428 ","137,144 ","7,828,449 ","1,394,880 ","1,086,346 ","1,330,755 ","1,070,995 ","1,245,323 ","1,702,155 ","2,021,824 ","462,638 "
2020.08.1주차,"21,723,378 ","7,941,913 ","5,187,144 ","5,823,135 ","3,117,114 ","3,126,237 ","2,452,008 ","503,129 ","24,720,433 ","3,770,078 ","3,179,072 ","4,127,602 ","3,968,363 ","3,900,391 ","5,683,444 ","6,999,035 ","1,780,185 ","13,604,659 ","5,131,408 ","3,494,891 ","4,129,500 ","2,211,698 ","2,136,411 ","1,695,447 ","373,892 ","17,393,139 ","2,491,023 ","2,171,822 ","2,889,226 ","2,907,066 ","2,645,580 ","3,945,482 ","4,969,722 ","1,189,006 ","8,118,719 ","2,810,505 ","1,692,253 ","1,693,635 ","905,416 ","989,826 ","756,561 ","129,237 ","7,327,294 ","1,279,055 ","1,007,250 ","1,238,376 ","1,061,297 ","1,254,811 ","1,737,962 ","2,029,313 ","591,179 "
2020.08.2주차,"21,832,913 ","7,931,507 ","5,305,233 ","6,000,157 ","3,230,890 ","3,169,272 ","2,541,876 ","522,355 ","25,267,403 ","4,069,891 ","3,304,872 ","4,412,328 ","4,107,892 ","3,984,721 ","5,801,352 ","7,146,279 ","1,770,858 ","13,483,526 ","5,093,848 ","3,532,671 ","4,164,457 ","2,245,257 ","2,131,738 ","1,755,150 ","378,851 ","17,369,731 ","2,498,295 ","2,182,858 ","2,960,061 ","2,935,534 ","2,662,391 ","3,974,369 ","5,062,517 ","1,177,001 ","8,349,387 ","2,837,659 ","1,772,562 ","1,835,700 ","985,633 ","1,037,534 ","786,726 ","143,504 ","7,897,672 ","1,571,596 ","1,122,014 ","1,452,267 ","1,172,358 ","1,322,330 ","1,826,983 ","2,083,762 ","593,857 "
2020.08.3주차,"20,210,586 ","7,420,209 ","5,168,074 ","5,765,008 ","3,125,091 ","3,040,029 ","2,463,808 ","514,203 ","24,140,029 ","3,764,820 ","3,216,716 ","4,226,637 ","3,815,588 ","3,716,197 ","5,508,729 ","6,874,228 ","1,710,416 ","13,152,348 ","4,942,162 ","3,513,814 ","4,063,850 ","2,228,297 ","2,093,630 ","1,731,587 ","380,195 ","16,902,149 ","2,394,078 ","2,162,505 ","2,935,027 ","2,827,530 ","2,621,322 ","3,917,512 ","4,979,121 ","1,147,161 ","7,058,238 ","2,478,047 ","1,654,260 ","1,701,158 ","896,794 ","946,399 ","732,221 ","134,008 ","7,237,880 ","1,370,742 ","1,054,211 ","1,291,610 ","988,058 ","1,094,875 ","1,591,217 ","1,895,107 ","563,255 "
2020.08.4주차,"19,694,435 ","7,163,432 ","5,054,725 ","5,527,055 ","2,952,381 ","2,942,545 ","2,383,729 ","499,346 ","23,482,018 ","3,220,534 ","3,027,413 ","3,938,598 ","3,625,383 ","3,325,391 ","5,252,401 ","6,455,120 ","1,451,265 ","12,946,454 ","4,900,877 ","3,489,656 ","3,974,676 ","2,156,485 ","2,064,327 ","1,709,793 ","373,486 ","16,723,898 ","2,326,055 ","2,120,560 ","2,874,845 ","2,796,708 ","2,512,200 ","3,903,772 ","4,876,673 ","1,083,559 ","6,747,981 ","2,262,555 ","1,565,069 ","1,552,379 ","795,896 ","878,218 ","673,936 ","125,860 ","6,758,120 ","894,479 ","906,853 ","1,063,753 ","828,675 ","813,191 ","1,348,629 ","1,578,447 ","367,706 "
2020.09.1주차,"19,226,821 ","7,231,105 ","5,040,752 ","5,502,965 ","2,949,135 ","3,000,218 ","2,357,684 ","514,099 ","23,471,614 ","3,144,677 ","3,086,029 ","4,061,557 ","3,732,629 ","3,339,046 ","5,189,326 ","6,381,556 ","1,346,260 ","12,807,403 ","5,042,737 ","3,522,401 ","3,961,108 ","2,178,000 ","2,114,978 ","1,719,984 ","385,910 ","16,742,630 ","2,390,985 ","2,172,900 ","2,940,683 ","2,886,003 ","2,554,534 ","3,959,028 ","4,925,748 ","1,086,550 ","6,419,418 ","2,188,368 ","1,518,351 ","1,541,857 ","771,135 ","885,240 ","637,700 ","128,189 ","6,728,984 ","753,692 ","913,129 ","1,120,874 ","846,626 ","784,512 ","1,230,298 ","1,455,808 ","259,710 "
2020.09.2주차,"19,589,918 ","7,409,522 ","5,146,953 ","5,567,340 ","2,961,209 ","3,037,967 ","2,352,890 ","524,457 ","23,961,128 ","3,151,674 ","3,168,826 ","4,158,159 ","3,803,456 ","3,485,158 ","5,318,325 ","6,607,208 ","1,472,963 ","12,872,477 ","5,068,637 ","3,546,704 ","3,978,506 ","2,167,916 ","2,124,330 ","1,699,583 ","390,492 ","16,919,724 ","2,410,510 ","2,194,518 ","2,952,838 ","2,908,165 ","2,616,462 ","3,978,735 ","4,992,807 ","1,144,834 ","6,717,441 ","2,340,885 ","1,600,249 ","1,588,834 ","793,293 ","913,637 ","653,307 ","133,965 ","7,041,404 ","741,164 ","974,308 ","1,205,321 ","895,291 ","868,696 ","1,339,590 ","1,614,401 ","328,129 "
2020.09.3주차,"21,161,838 ","7,625,272 ","5,266,584 ","5,869,688 ","3,064,972 ","3,130,560 ","2,431,564 ","539,955 ","25,266,670 ","3,338,285 ","3,252,519 ","4,261,226 ","3,883,458 ","3,627,617 ","5,485,050 ","6,745,710 ","1,504,931 ","13,454,866 ","5,109,271 ","3,575,755 ","4,133,717 ","2,199,041 ","2,152,703 ","1,728,163 ","394,943 ","17,496,809 ","2,488,542 ","2,215,233 ","2,977,055 ","2,921,085 ","2,667,211 ","4,009,840 ","5,026,751 ","1,149,424 ","7,706,972 ","2,516,001 ","1,690,829 ","1,735,971 ","865,931 ","977,857 ","703,401 ","145,012 ","7,769,861 ","849,743 ","1,037,286 ","1,284,171 ","962,373 ","960,406 ","1,475,210 ","1,718,959 ","355,507 "
2020.09.4주차,"21,693,257 ","7,657,296 ","5,314,344 ","5,939,462 ","3,142,846 ","3,191,517 ","2,463,215 ","541,951 ","25,645,955 ","3,251,899 ","3,261,863 ","4,246,502 ","3,842,689 ","3,598,338 ","5,425,437 ","6,774,778 ","1,517,112 ","13,589,205 ","5,113,369 ","3,582,947 ","4,170,675 ","2,215,906 ","2,169,706 ","1,742,030 ","396,301 ","17,668,332 ","2,501,398 ","2,228,069 ","2,994,884 ","2,898,983 ","2,649,817 ","4,013,396 ","5,059,939 ","1,160,085 ","8,104,052 ","2,543,927 ","1,731,397 ","1,768,787 ","926,940 ","1,021,811 ","721,185 ","145,650 ","7,977,623 ","750,501 ","1,033,794 ","1,251,618 ","943,706 ","948,521 ","1,412,041 ","1,714,839 ","357,027 "
2020.10.1주차,"19,248,981 ","7,398,133 ","5,110,191 ","5,830,706 ","2,987,653 ","2,962,084 ","2,368,673 ","505,498 ","24,434,947 ","3,727,339 ","3,310,195 ","4,418,024 ","4,035,238 ","4,090,537 ","5,832,809 ","7,043,305 ","1,537,647 ","12,609,774 ","4,799,216 ","3,328,076 ","3,925,679 ","2,046,835 ","1,980,245 ","1,607,597 ","350,870 ","16,403,507 ","2,310,750 ","2,067,604 ","2,741,106 ","2,678,920 ","2,508,695 ","3,725,001 ","4,714,619 ","1,095,829 ","6,639,207 ","2,598,917 ","1,782,115 ","1,905,027 ","940,818 ","981,839 ","761,076 ","154,628 ","8,031,440 ","1,416,589 ","1,242,591 ","1,676,918 ","1,356,318 ","1,581,842 ","2,107,808 ","2,328,686 ","441,818 "
2020.10.2주차,"21,670,665 ","7,535,471 ","5,291,070 ","5,998,351 ","3,198,080 ","3,153,590 ","2,460,972 ","537,131 ","25,815,233 ","3,500,125 ","3,278,781 ","4,331,287 ","3,873,138 ","3,714,780 ","5,483,385 ","6,846,549 ","1,558,664 ","13,759,123 ","5,110,388 ","3,592,808 ","4,219,822 ","2,262,432 ","2,171,423 ","1,753,967 ","397,978 ","17,843,307 ","2,509,813 ","2,232,415 ","2,999,957 ","2,882,681 ","2,674,021 ","4,005,876 ","5,072,650 ","1,159,974 ","7,911,542 ","2,425,083 ","1,698,262 ","1,778,529 ","935,648 ","982,167 ","707,005 ","139,153 ","7,971,926 ","990,312 ","1,046,366 ","1,331,330 ","990,457 ","1,040,759 ","1,477,509 ","1,773,899 ","398,690 "
2020.10.3주차,"22,491,999 ","7,800,924 ","5,369,823 ","6,076,055 ","3,279,892 ","3,204,488 ","2,520,382 ","552,980 ","26,122,529 ","3,461,667 ","3,311,918 ","4,311,178 ","3,911,708 ","3,707,890 ","5,520,916 ","6,892,392 ","1,613,382 ","13,921,383 ","5,216,471 ","3,630,706 ","4,259,245 ","2,303,487 ","2,191,620 ","1,781,356 ","408,927 ","17,986,779 ","2,538,907 ","2,250,392 ","3,024,756 ","2,939,036 ","2,711,668 ","4,058,139 ","5,116,951 ","1,174,492 ","8,570,616 ","2,584,453 ","1,739,117 ","1,816,810 ","976,405 ","1,012,868 ","739,026 ","144,053 ","8,135,750 ","922,760 ","1,061,526 ","1,286,422 ","972,672 ","996,222 ","1,462,777 ","1,775,441 ","438,890 "
2020.10.4주차,"22,574,948 ","7,849,863 ","5,364,647 ","6,063,107 ","3,296,566 ","3,224,946 ","2,533,345 ","552,722 ","26,175,142 ","3,543,467 ","3,342,721 ","4,302,160 ","3,959,902 ","3,724,505 ","5,552,233 ","6,926,340 ","1,644,379 ","13,862,444 ","5,205,882 ","3,603,261 ","4,235,912 ","2,296,903 ","2,184,084 ","1,781,823 ","405,688 ","17,911,798 ","2,546,351 ","2,242,773 ","3,013,805 ","2,942,576 ","2,699,653 ","4,036,414 ","5,111,165 ","1,164,910 ","8,712,504 ","2,643,981 ","1,761,386 ","1,827,195 ","999,663 ","1,040,862 ","751,522 ","147,034 ","8,263,344 ","997,116 ","1,099,948 ","1,288,355 ","1,017,326 ","1,024,852 ","1,515,819 ","1,815,175 ","479,469 "
2020.10.5주차,"22,629,252 ","7,778,871 ","5,368,893 ","6,048,846 ","3,313,987 ","3,221,699 ","2,549,205 ","552,398 ","26,123,728 ","3,469,272 ","3,338,053 ","4,295,980 ","3,968,751 ","3,751,697 ","5,561,302 ","6,893,138 ","1,656,051 ","13,838,918 ","5,136,394 ","3,598,234 ","4,226,083 ","2,296,782 ","2,173,797 ","1,785,816 ","403,628 ","17,897,987 ","2,520,009 ","2,234,703 ","3,001,081 ","2,932,289 ","2,700,916 ","4,026,318 ","5,076,541 ","1,174,774 ","8,790,334 ","2,642,477 ","1,770,659 ","1,822,763 ","1,017,205 ","1,047,902 ","763,389 ","148,770 ","8,225,741 ","949,263 ","1,103,350 ","1,294,899 ","1,036,462 ","1,050,781 ","1,534,984 ","1,816,597 ","481,277 "
