,,요양기관수,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,확진자수
전라남도,강진군,1.0,14154,3251,2546,2554,2360,2088,1355,9116.0
전라남도,고흥군,1.0,30148,6240,5703,5521,5270,4338,3076,15568.0
전라남도,곡성군,1.0,11687,2514,2012,2040,1995,1833,1293,6839.0
전라남도,광양시,5.0,28141,9674,6161,4456,3276,2694,1880,46246.0
전라남도,구례군,3.0,10386,2394,1926,1811,1837,1493,925,7343.0
전라남도,나주시,7.0,31071,8328,6158,5411,5102,3672,2400,40839.0
전라남도,담양군,6.0,16829,4116,3221,2995,2822,2245,1430,11142.0
전라남도,목포시,9.0,52159,16543,11843,9678,7367,4378,2350,85005.0
전라남도,무안군,4.0,20682,5412,4302,3824,3351,2335,1458,32959.0
전라남도,보성군,4.0,17748,3767,3223,3101,3074,2687,1896,10581.0
전라남도,순천시,7.0,59922,19425,12876,10074,7876,5711,3960,99068.0
전라남도,신안군,2.0,16384,3679,3118,2971,2950,2319,1347,5451.0
전라남도,여수시,12.0,71703,21746,16750,13334,9717,6276,3880,90344.0
전라남도,영광군,1.0,18102,4265,3489,3414,3225,2337,1372,13956.0
전라남도,영암군,1.0,17005,4215,3189,2940,2916,2275,1470,15884.0
전라남도,완도군,,19070,4419,3602,3474,3443,2609,1523,12595.0
전라남도,장성군,2.0,15193,3484,2821,2772,2626,2122,1368,11006.0
전라남도,장흥군,1.0,15126,3432,2731,2609,2498,2210,1646,10430.0
전라남도,진도군,1.0,12107,2796,2099,2176,2280,1740,1016,7023.0
전라남도,함평군,1.0,13251,2932,2412,2380,2370,1959,1198,7716.0
전라남도,해남군,1.0,26361,6259,4945,4776,4598,3574,2209,18130.0
전라남도,화순군,13.0,19817,4895,3615,3413,3511,2701,1682,20697.0
전라북도,고창군,5.0,22258,5069,4031,4035,3935,3052,2136,14129.0
전라북도,군산시,9.0,66642,20325,15262,12404,9073,5756,3822,84684.0
전라북도,김제시,4.0,31085,7462,6078,5622,4995,3919,3009,23731.0
전라북도,남원시,4.0,27698,6777,5516,5054,4358,3480,2513,24797.0
전라북도,덕진구,,61885,19783,14004,11417,8196,5396,3089,
전라북도,무주군,,9642,2225,1896,1603,1634,1359,925,6260.0
전라북도,부안군,2.0,20696,4872,4075,3869,3381,2673,1826,13629.0
전라북도,순창군,2.0,11155,2545,1984,1986,2004,1644,992,6624.0
전라북도,완산구,,74572,24232,17241,13620,9447,6122,3910,
전라북도,완주군,6.0,26239,7164,5601,4717,3846,2935,1976,32444.0
전라북도,익산시,11.0,73288,22305,16234,13016,9970,6938,4825,89173.0
전라북도,임실군,1.0,11509,2513,2048,2107,1950,1726,1165,7342.0
전라북도,장수군,,9051,2093,1868,1521,1465,1231,873,4911.0
전라북도,전주시,35.0,136457,44015,31245,25037,17643,11518,6999,236635.0
전라북도,정읍시,5.0,36539,8897,7062,6693,5937,4642,3308,31386.0
전라북도,진안군,,10477,2438,2022,1892,1733,1420,972,5433.0
제주특별자치도,서귀포시,,46114,13503,9624,8120,6630,4779,3458,55089.0
제주특별자치도,제주시,10.0,96682,31190,21025,16203,12577,8992,6695,173609.0
충청남도,계룡시,1.0,7328,2577,1770,1114,818,600,449,14712.0
충청남도,공주시,8.0,34676,9645,7467,5762,4985,3990,2827,29844.0
충청남도,금산군,3.0,19743,5009,4177,3409,3083,2466,1599,14451.0
충청남도,논산시,10.0,38586,10461,8133,6433,5719,4582,3258,39594.0
충청남도,당진시,4.0,40444,11472,8328,6983,5667,4730,3264,56492.0
충청남도,동남구,,52442,17886,11848,8415,6470,4704,3119,
충청남도,보령시,2.0,33363,8932,7284,5975,4812,3747,2613,26201.0
충청남도,부여군,3.0,27601,6790,5489,4709,4304,3585,2724,15841.0
충청남도,서북구,,52314,19610,11675,8092,5982,4213,2742,
충청남도,서산시,1.0,42914,12384,8790,7418,6021,4701,3600,55802.0
충청남도,서천군,4.0,22686,5096,4611,4081,3593,3033,2272,13303.0
충청남도,아산시,7.0,56974,17835,12360,9541,7630,5770,3838,114011.0
충청남도,예산군,,30531,7605,6317,5280,4694,3919,2716,20342.0
충청남도,천안시,18.0,104756,37496,23523,16507,12452,8917,5861,238802.0
