시도별,행정구역별(시군구),성별,세대구성별,60세 이상 - 계,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
전라북도,진안군,계,계,10477,2438,2022,1892,1733,1420,972
전라북도,무주군,계,계,9642,2225,1896,1603,1634,1359,925
전라북도,장수군,계,계,9051,2093,1868,1521,1465,1231,873
전라북도,임실군,계,계,11509,2513,2048,2107,1950,1726,1165
전라북도,순창군,계,계,11155,2545,1984,1986,2004,1644,992
전라북도,고창군,계,계,22258,5069,4031,4035,3935,3052,2136
전라북도,부안군,계,계,20696,4872,4075,3869,3381,2673,1826
전라남도,전라남도,계,계,537046,143786,108742,95724,84464,63596,40734
전라남도,읍부,계,계,119263,32151,24457,21720,18536,13657,8742
전라남도,면부,계,계,251054,55870,45513,44338,44639,36674,24020
전라남도,동부,계,계,166729,55765,38772,29666,21289,13265,7972
전라남도,목포시,계,계,52159,16543,11843,9678,7367,4378,2350
전라남도,여수시,계,계,71703,21746,16750,13334,9717,6276,3880
전라남도,순천시,계,계,59922,19425,12876,10074,7876,5711,3960
전라남도,나주시,계,계,31071,8328,6158,5411,5102,3672,2400
전라남도,광양시,계,계,28141,9674,6161,4456,3276,2694,1880
전라남도,담양군,계,계,16829,4116,3221,2995,2822,2245,1430
전라남도,곡성군,계,계,11687,2514,2012,2040,1995,1833,1293
전라남도,구례군,계,계,10386,2394,1926,1811,1837,1493,925
전라남도,고흥군,계,계,30148,6240,5703,5521,5270,4338,3076
전라남도,보성군,계,계,17748,3767,3223,3101,3074,2687,1896
전라남도,화순군,계,계,19817,4895,3615,3413,3511,2701,1682
전라남도,장흥군,계,계,15126,3432,2731,2609,2498,2210,1646
전라남도,강진군,계,계,14154,3251,2546,2554,2360,2088,1355
전라남도,해남군,계,계,26361,6259,4945,4776,4598,3574,2209
전라남도,영암군,계,계,17005,4215,3189,2940,2916,2275,1470
전라남도,무안군,계,계,20682,5412,4302,3824,3351,2335,1458
전라남도,함평군,계,계,13251,2932,2412,2380,2370,1959,1198
전라남도,영광군,계,계,18102,4265,3489,3414,3225,2337,1372
전라남도,장성군,계,계,15193,3484,2821,2772,2626,2122,1368
전라남도,완도군,계,계,19070,4419,3602,3474,3443,2609,1523
전라남도,진도군,계,계,12107,2796,2099,2176,2280,1740,1016
전라남도,신안군,계,계,16384,3679,3118,2971,2950,2319,1347
경상북도,경상북도,계,계,749388,220224,168744,124708,105558,79415,50739
경상북도,읍부,계,계,161284,48030,35915,26843,22624,17086,10786
경상북도,면부,계,계,286683,68861,59443,47852,46082,38455,25990
경상북도,동부,계,계,301421,103333,73386,50013,36852,23874,13963
경상북도,포항시,계,계,125687,43982,32217,20760,14619,9011,5098
경상북도,남구,계,계,58218,20390,15219,9748,6742,3973,2146
경상북도,북구,계,계,67469,23592,16998,11012,7877,5038,2952
경상북도,경주시,계,계,74723,22026,16887,12773,10557,7637,4843
경상북도,김천시,계,계,41801,11625,9261,6984,5852,4835,3244
경상북도,안동시,계,계,49496,13511,10875,8276,7577,5591,3666
경상북도,구미시,계,계,61370,23914,14259,8797,6618,4700,3082
경상북도,영주시,계,계,35783,9624,8048,6022,5430,4077,2582
경상북도,영천시,계,계,35791,9399,7872,6326,5526,4103,2565
경상북도,상주시,계,계,37968,9716,7752,6397,5735,4989,3379
경상북도,문경시,계,계,26791,7032,5660,4627,4167,3263,2042
경상북도,경산시,계,계,61212,19386,14253,10525,8128,5653,3267
경상북도,군위군,계,계,11256,2640,2305,1912,1880,1505,1014
경상북도,의성군,계,계,25461,5825,5248,4236,4316,3524,2312
경상북도,청송군,계,계,11447,2827,2398,1931,1923,1480,888
경상북도,영양군,계,계,7531,1746,1508,1225,1372,1030,650
경상북도,영덕군,계,계,16332,3642,3281,2731,2956,2303,1419
경상북도,청도군,계,계,19310,4629,4267,3403,2833,2473,1705
경상북도,고령군,계,계,12117,3116,2634,2061,1792,1546,968
경상북도,성주군,계,계,16963,4546,3799,3014,2352,1875,1377
경상북도,칠곡군,계,계,23970,7516,5180,3850,3275,2518,1631
경상북도,예천군,계,계,20355,4728,4163,3323,3284,2888,1969
경상북도,봉화군,계,계,14060,3487,2917,2269,2250,1887,1250
경상북도,울진군,계,계,16988,4401,3278,2744,2702,2251,1612
경상북도,울릉군,계,계,2976,906,682,522,414,276,176
경상남도,경상남도,계,계,790629,256980,182670,131022,102299,72564,45094
경상남도,읍부,계,계,110920,36028,25381,18565,14339,10402,6205
경상남도,면부,계,계,257017,67600,54077,42793,39005,31788,21754
경상남도,동부,계,계,422692,153352,103212,69664,48955,30374,17135
경상남도,진주시,계,계,81098,25564,18518,14050,10829,7431,4706
경상남도,통영시,계,계,34607,11212,8302,6000,4607,2842,1644
경상남도,사천시,계,계,31190,8624,6919,5541,4607,3407,2092
경상남도,김해시,계,계,90046,33918,21210,14258,10438,6590,3632
경상남도,밀양시,계,계,38185,10976,8845,6477,5372,3984,2531
경상남도,거제시,계,계,40559,15736,9723,6082,4299,2778,1941
경상남도,양산시,계,계,68382,23903,16452,11446,8440,5260,2881
경상남도,창원시,계,계,221163,81060,55225,35972,24552,15497,8857
경상남도,의창구,계,계,50946,20451,12728,7583,5038,3227,1919
경상남도,성산구,계,계,32458,15240,7865,4203,2434,1649,1067
