시도명,시군구명,병원수,격리병상수,남은 격리병상수,총인구
인천광역시,남동구,2.0,102.0,31.0,528927.0
인천광역시,동구,1.0,10.0,0.0,61285.0
인천광역시,미추홀구,2.0,62.0,10.0,405886.0
인천광역시,부평구,2.0,218.0,25.0,500812.0
인천광역시,서구,5.0,219.0,63.0,541534.0
인천광역시,연수구,1.0,27.0,6.0,390260.0
인천광역시,옹진군,1.0,1.0,0.0,19292.0
인천광역시,중구,2.0,91.0,45.0,138586.0
전라남도,강진군,1.0,49.0,9.0,32778.0
전라남도,고흥군,2.0,7.0,0.0,60045.0
전라남도,곡성군,1.0,1.0,0.0,27349.0
전라남도,광양시,1.0,1.0,0.0,143928.0
전라남도,구례군,1.0,0.0,0.0,23907.0
전라남도,나주시,1.0,0.0,0.0,113293.0
전라남도,담양군,1.0,2.0,0.0,44201.0
전라남도,목포시,6.0,195.0,48.0,224509.0
전라남도,무안군,1.0,11.0,1.0,84637.0
전라남도,보성군,2.0,0.0,0.0,37888.0
전라남도,순천시,4.0,146.0,38.0,272449.0
전라남도,신안군,1.0,1.0,0.0,35138.0
전라남도,여수시,3.0,7.0,0.0,271505.0
전라남도,영광군,2.0,4.0,0.0,50196.0
전라남도,영암군,1.0,1.0,1.0,57076.0
전라남도,완도군,0.0,0.0,0.0,48269.0
전라남도,장성군,1.0,1.0,0.0,41443.0
전라남도,장흥군,2.0,2.0,1.0,35273.0
전라남도,진도군,1.0,1.0,0.0,29297.0
전라남도,함평군,0.0,0.0,0.0,30156.0
전라남도,해남군,2.0,49.0,16.0,65223.0
전라남도,화순군,1.0,19.0,10.0,60247.0
전라북도,고창군,1.0,1.0,0.0,52608.0
전라북도,군산시,2.0,327.0,66.0,269023.0
전라북도,김제시,1.0,1.0,0.0,79733.0
전라북도,남원시,1.0,5.0,1.0,78097.0
전라북도,덕진구,0.0,0.0,0.0,323621.0
전라북도,무주군,1.0,1.0,0.0,22678.0
전라북도,부안군,2.0,3.0,1.0,49326.0
전라북도,순창군,1.0,1.0,0.0,26598.0
전라북도,완산구,0.0,0.0,0.0,342896.0
전라북도,완주군,0.0,0.0,0.0,95834.0
전라북도,익산시,2.0,19.0,8.0,285312.0
전라북도,임실군,1.0,1.0,0.0,26075.0
전라북도,장수군,1.0,1.0,0.0,20879.0
