,loc_sido,loc_gun,bed,pop,total60,60-64,65-69,70-74,75-79,80-84,85-,conf,pred_death
56,경상남도,하동군,0.0,41772.0,18671,4552,3727,3114,2933,2535,1810,9520.0,41.4743375108801
57,경상남도,함안군,0.0,65279.0,20276,5803,4440,3374,2901,2284,1474,16887.0,56.08044292595424
58,경상남도,합천군,1.0,42140.0,20208,4575,3825,3374,3428,3029,1977,9524.0,38.125604204974834
59,경상북도,경산시,6.0,283733.0,61212,19386,14253,10525,8128,5653,3267,85732.0,141.10342636587768
60,경상북도,경주시,33.0,261778.0,74723,22026,16887,12773,10557,7637,4843,66766.0,151.26851892846298
61,경상북도,고령군,3.0,31419.0,12117,3116,2634,2061,1792,1546,968,6665.0,43.34205501852115
62,경상북도,구미시,66.0,416603.0,61370,23914,14259,8797,6618,4700,3082,128895.0,160.04844654040664
63,경상북도,김천시,130.0,139145.0,41801,11625,9261,6984,5852,4835,3244,38493.0,90.72939894809839
64,경상북도,문경시,8.0,68212.0,26791,7032,5660,4627,4167,3263,2042,19096.0,58.120522903991024
65,경상북도,봉화군,0.0,29945.0,14060,3487,2917,2269,2250,1887,1250,5993.0,41.76259455458654
66,경상북도,상주시,87.0,95473.0,37968,9716,7752,6397,5735,4989,3379,22978.0,66.37030676441009
67,경상북도,성주군,3.0,41574.0,16963,4546,3799,3014,2352,1875,1377,8584.0,51.87723818368282
68,경상북도,안동시,258.0,159412.0,49496,13511,10875,8276,7577,5591,3666,46128.0,122.47185744117118
69,경상북도,영덕군,0.0,34893.0,16332,3642,3281,2731,2956,2303,1419,9130.0,43.489235693627776
70,경상북도,영주시,143.0,103818.0,35783,9624,8048,6022,5430,4077,2582,31132.0,89.91782188625922
71,경상북도,영천시,3.0,100353.0,35791,9399,7872,6326,5526,4103,2565,26058.0,77.38629972015951
72,경상북도,예천군,0.0,53718.0,20355,4728,4163,3323,3284,2888,1969,15490.0,40.25475338872708
73,경상북도,울릉군,0.0,8444.0,2976,906,682,522,414,276,176,1393.0,37.62174707476901
74,경상북도,울진군,4.0,47151.0,16988,4401,3278,2744,2702,2251,1612,12321.0,42.38410670495214
75,경상북도,의성군,0.0,49243.0,25461,5825,5248,4236,4316,3524,2312,10492.0,48.728412848234655
76,경상북도,청도군,0.0,41378.0,19310,4629,4267,3403,2833,2473,1705,9626.0,45.870193839550964
77,경상북도,칠곡군,0.0,115756.0,23970,7516,5180,3850,3275,2518,1631,28322.0,70.76487203155173
78,경상북도,포항시,302.0,501109.0,125687,43982,32217,20760,14619,9011,5098,158684.0,321.39086545018756
79,광주광역시,광산구,47.0,422502.0,55911,20450,12076,9364,6899,4474,2648,157113.0,136.26712546461982
80,광주광역시,남구,43.0,214860.0,51873,16199,11712,9764,7205,4368,2625,74196.0,130.15533929812233
81,광주광역시,동구,68.0,106005.0,28733,8008,6305,5465,4469,2902,1584,40055.0,81.93061458464496
82,광주광역시,북구,36.0,439352.0,93279,31605,21342,16672,12078,7243,4339,141595.0,220.92520245369053
83,광주광역시,서구,46.0,294854.0,60751,20400,13852,10869,7959,4839,2832,106009.0,147.27172461079167
84,대구광역시,남구,138.0,145588.0,44734,12670,10484,8093,6504,4385,2598,56733.0,108.93519859939612
85,대구광역시,달서구,92.0,566712.0,119948,42818,29333,19538,13998,9142,5119,160926.0,293.11534320864683
86,대구광역시,달성군,0.0,261013.0,47020,16862,11332,7646,5378,3603,2199,75016.0,131.61613690187193
87,대구광역시,동구,56.0,333294.0,91144,27686,21852,16394,12730,8057,4425,94786.0,216.26307434142615
88,대구광역시,북구,279.0,446466.0,91224,30987,21355,15343,11992,7477,4070,125817.0,260.1861997056137
89,대구광역시,서구,155.0,170437.0,53086,16723,13253,9423,7186,4325,2176,81155.0,129.43887976969472
90,대구광역시,수성구,2.0,412912.0,92981,29650,21543,15763,12294,8385,5346,109011.0,207.7274976961541
91,대구광역시,중구,154.0,74278.0,19740,5309,4269,3765,3129,2061,1207,30848.0,74.75117240984949
92,대전광역시,대덕구,113.0,176393.0,40330,14296,9425,6525,5063,3162,1859,51421.0,124.8682470662371
93,대전광역시,동구,24.0,232559.0,57092,17800,13094,10133,8110,5039,2916,77770.0,136.08401084263073
94,대전광역시,서구,46.0,478629.0,89680,32076,21307,14681,10501,6733,4382,151372.0,214.2987578245391
95,대전광역시,유성구,38.0,368895.0,51744,20463,12310,7488,5384,3605,2494,135528.0,127.79616408936172
