시도명,시군구명,65~69세,70~74세,75~79세,80~84세,85세이상,격리병상수,남은 격리병상수,병원수,예측된 사망자수,요양기관수,총인구,확진자수
전라남도,나주시,6158,5411,5102,3672,2400,0.0,0.0,1.0,75.94281137349634,7.0,113293.0,40839.0
전라남도,담양군,3221,2995,2822,2245,1430,2.0,0.0,1.0,3.6199184789426795,6.0,44201.0,11142.0
전라남도,목포시,11843,9678,7367,4378,2350,195.0,48.0,6.0,-14.542030467245525,9.0,224509.0,85005.0
전라남도,무안군,4302,3824,3351,2335,1458,11.0,1.0,1.0,30.52978807217613,4.0,84637.0,32959.0
전라남도,보성군,3223,3101,3074,2687,1896,0.0,0.0,2.0,-13.64026823055002,4.0,37888.0,10581.0
전라남도,순천시,12876,10074,7876,5711,3960,146.0,38.0,4.0,66.08508669054817,7.0,272449.0,99068.0
전라남도,신안군,3118,2971,2950,2319,1347,1.0,0.0,1.0,26.610192837512557,2.0,35138.0,5451.0
전라남도,여수시,16750,13334,9717,6276,3880,7.0,0.0,3.0,142.69555195800302,12.0,271505.0,90344.0
전라남도,영광군,3489,3414,3225,2337,1372,4.0,0.0,2.0,15.402460994226828,1.0,50196.0,13956.0
전라남도,영암군,3189,2940,2916,2275,1470,1.0,1.0,1.0,32.903607152153825,1.0,57076.0,15884.0
전라남도,장성군,2821,2772,2626,2122,1368,1.0,0.0,1.0,17.7062945990171,2.0,41443.0,11006.0
전라남도,장흥군,2731,2609,2498,2210,1646,2.0,1.0,2.0,-11.594789902506193,1.0,35273.0,10430.0
전라남도,진도군,2099,2176,2280,1740,1016,1.0,0.0,1.0,18.762353679520572,1.0,29297.0,7023.0
전라남도,함평군,2412,2380,2370,1959,1198,0.0,0.0,0.0,46.07899159089601,1.0,30156.0,7716.0
전라남도,해남군,4945,4776,4598,3574,2209,49.0,16.0,2.0,55.72301378405126,1.0,65223.0,18130.0
전라남도,화순군,3615,3413,3511,2701,1682,19.0,10.0,1.0,-0.31683632448522303,13.0,60247.0,20697.0
전라북도,고창군,4031,4035,3935,3052,2136,1.0,0.0,1.0,41.713003187810216,5.0,52608.0,14129.0
전라북도,군산시,15262,12404,9073,5756,3822,327.0,66.0,2.0,64.95881007265297,9.0,269023.0,84684.0
전라북도,김제시,6078,5622,4995,3919,3009,1.0,0.0,1.0,71.69841067291298,4.0,79733.0,23731.0
전라북도,남원시,5516,5054,4358,3480,2513,5.0,1.0,1.0,55.298806467179645,4.0,78097.0,24797.0
전라북도,부안군,4075,3869,3381,2673,1826,3.0,1.0,2.0,12.217791224392101,2.0,49326.0,13629.0
전라북도,순창군,1984,1986,2004,1644,992,1.0,0.0,1.0,2.3627145895504214,2.0,26598.0,6624.0
전라북도,완주군,5601,4717,3846,2935,1976,0.0,0.0,0.0,63.9495387407066,6.0,95834.0,32444.0
전라북도,익산시,16234,13016,9970,6938,4825,19.0,8.0,2.0,179.16964461498236,11.0,285312.0,89173.0
전라북도,임실군,2048,2107,1950,1726,1165,1.0,0.0,1.0,3.4328075136351686,1.0,26075.0,7342.0
전라북도,전주시,31245,25037,17643,11518,6999,210.0,60.0,5.0,217.56107548804783,35.0,666517.0,236635.0
전라북도,정읍시,7062,6693,5937,4642,3308,0.0,1.0,1.0,100.03851674209608,5.0,106706.0,31386.0
제주특별자치도,제주시,21025,16203,12577,8992,6695,170.0,42.0,5.0,137.95390991525954,10.0,492306.0,173609.0
충청남도,계룡시,1770,1114,818,600,449,0.0,0.0,0.0,0.1465269344686817,1.0,40854.0,14712.0
충청남도,공주시,7467,5762,4985,3990,2827,119.0,15.0,1.0,-4.50866068910301,8.0,108333.0,29844.0
충청남도,금산군,4177,3409,3083,2466,1599,0.0,0.0,0.0,50.93248931133593,3.0,53758.0,14451.0
충청남도,논산시,8133,6433,5719,4582,3258,3.0,0.0,1.0,61.3753934170806,10.0,119707.0,39594.0
충청남도,당진시,8328,6983,5667,4730,3264,47.0,1.0,1.0,67.76434676337402,4.0,168955.0,56492.0
충청남도,보령시,7284,5975,4812,3747,2613,0.0,0.0,1.0,75.74034444308808,2.0,99088.0,26201.0
충청남도,부여군,5489,4709,4304,3585,2724,3.0,0.0,1.0,50.64221534305278,3.0,64207.0,15841.0
충청남도,서산시,8790,7418,6021,4701,3600,156.0,7.0,2.0,2.2698615365649744,1.0,176379.0,55802.0
충청남도,서천군,4611,4081,3593,3033,2272,0.0,0.0,1.0,22.95577439982179,4.0,51039.0,13303.0
충청남도,아산시,12360,9541,7630,5770,3838,11.0,0.0,1.0,121.72164419123754,7.0,340518.0,114011.0
충청남도,천안시,23523,16507,12452,8917,5861,148.0,25.0,4.0,112.26117537880663,18.0,682199.0,238802.0
충청남도,청양군,2627,2269,2084,1888,1367,1.0,0.0,1.0,-3.1562504288388595,2.0,30103.0,7225.0
충청남도,태안군,5155,4577,3787,2615,1893,1.0,0.0,1.0,58.981262818967195,1.0,60901.0,15745.0
충청남도,홍성군,6263,5199,4434,3736,2696,96.0,9.0,1.0,5.809069876936235,3.0,102757.0,32000.0
충청북도,단양군,2485,1937,1751,1278,772,0.0,0.0,0.0,33.24591127985212,1.0,27640.0,6855.0
충청북도,보은군,2799,2213,2135,1834,1329,0.0,0.0,0.0,24.71744174683289,3.0,31543.0,8794.0
충청북도,영동군,3854,3135,3039,2290,1417,0.0,0.0,1.0,25.479436888125463,3.0,47016.0,11680.0
충청북도,옥천군,4047,3121,2822,2073,1563,3.0,0.0,1.0,13.012717106574826,3.0,48868.0,13798.0
충청북도,음성군,5653,3938,3582,2659,1838,0.0,0.0,0.0,71.63251151317553,2.0,103725.0,29266.0
충청북도,제천시,9246,6191,5764,3910,2258,32.0,3.0,2.0,58.23076703596479,6.0,134768.0,42422.0
충청북도,증평군,1954,1337,1225,887,543,0.0,0.0,0.0,16.909431232887698,1.0,37183.0,15155.0
충청북도,진천군,4030,2787,2445,2112,1337,67.0,17.0,1.0,5.25612125782817,1.0,89514.0,34557.0
충청북도,청주시,37220,25076,20488,14104,9070,445.0,73.0,7.0,196.2106994373641,14.0,855326.0,297157.0
충청북도,충주시,12505,8581,8180,6001,3652,149.0,7.0,2.0,51.842346096533845,7.0,218412.0,69701.0
